ref_datetime,valid_datetime,"Temperature, WindSpeed, WindSpeed:100, WindDirection:100, CloudCover, RelativeHumidity, PressureReducedMSL, SolarDownwardRadiation, TotalPrecipitation",latitude,longitude,Temperature,WindSpeed,WindSpeed:100,WindDirection:100,CloudCover,RelativeHumidity,PressureReducedMSL,SolarDownwardRadiation,TotalPrecipitation
2024-10-02T12:00:00Z,2024-10-02T12:00:00Z,,52.4872562,0.4012455,13.99,6.01,9.33,42.29,1.0,84.91,101533.37,119.61,
2024-10-02T12:00:00Z,2024-10-02T13:00:00Z,,52.4872562,0.4012455,14.12,6.42,9.92,40.71,0.92,78.71,101558.24,219.6,0.0
2024-10-02T12:00:00Z,2024-10-02T14:00:00Z,,52.4872562,0.4012455,13.96,7.24,10.76,43.61,0.86,80.04,101620.41,86.32,0.0
2024-10-02T12:00:00Z,2024-10-02T15:00:00Z,,52.4872562,0.4012455,13.4,5.98,9.64,43.69,0.89,82.47,101645.28,90.85,0.0
2024-10-02T12:00:00Z,2024-10-02T16:00:00Z,,52.4872562,0.4012455,13.45,5.94,9.59,40.91,0.72,79.42,101701.23,63.36,0.0
2024-10-02T12:00:00Z,2024-10-02T17:00:00Z,,52.4872562,0.4012455,12.54,5.41,9.31,33.13,0.46,79.81,101741.65,5.01,0.0
2024-10-02T12:00:00Z,2024-10-02T18:00:00Z,,52.4872562,0.4012455,11.25,4.8,9.51,28.67,0.27,82.47,101854.34,0.0,0.0
2024-10-02T12:00:00Z,2024-10-02T19:00:00Z,,52.4872562,0.4012455,10.33,4.64,9.93,29.84,0.0,82.16,101913.2,0.18,0.0
2024-10-02T12:00:00Z,2024-10-02T20:00:00Z,,52.4872562,0.4012455,9.74,4.36,9.63,34.58,0.0,83.02,101968.97,0.0,0.0
2024-10-02T12:00:00Z,2024-10-02T21:00:00Z,,52.4872562,0.4012455,9.2,3.93,9.09,38.52,0.0,84.12,101983.73,0.22,0.0
2024-10-02T12:00:00Z,2024-10-02T22:00:00Z,,52.4872562,0.4012455,8.83,3.77,9.15,41.69,0.0,84.75,101995.78,0.0,0.0
2024-10-02T12:00:00Z,2024-10-02T23:00:00Z,,52.4872562,0.4012455,8.4,3.32,8.51,45.68,0.0,85.06,102028.42,0.0,0.0
2024-10-02T12:00:00Z,2024-10-03T00:00:00Z,,52.4872562,0.4012455,7.97,3.18,8.28,45.44,0.0,86.16,102055.62,0.31,0.0
2024-10-02T12:00:00Z,2024-10-03T01:00:00Z,,52.4872562,0.4012455,7.54,2.89,7.59,46.11,0.0,87.42,102089.81,0.31,0.0
2024-10-02T12:00:00Z,2024-10-03T02:00:00Z,,52.4872562,0.4012455,7.21,2.32,6.45,52.1,0.0,86.79,102096.03,0.0,0.0
2024-10-02T12:00:00Z,2024-10-03T03:00:00Z,,52.4872562,0.4012455,6.78,2.08,4.96,42.0,0.1,87.89,102113.13,0.67,0.0
2024-10-02T12:00:00Z,2024-10-03T04:00:00Z,,52.4872562,0.4012455,6.57,2.03,5.1,25.24,0.04,87.57,102127.12,0.0,0.0
2024-10-02T12:00:00Z,2024-10-03T05:00:00Z,,52.4872562,0.4012455,6.46,1.85,5.17,26.03,0.26,87.1,102122.45,0.84,0.0
2024-10-02T12:00:00Z,2024-10-03T06:00:00Z,,52.4872562,0.4012455,6.68,1.82,5.29,36.87,0.56,86.32,102167.53,22.39,0.0
2024-10-02T12:00:00Z,2024-10-03T07:00:00Z,,52.4872562,0.4012455,7.54,1.7,5.14,39.56,0.6,84.91,102207.95,110.01,0.0
2024-10-02T12:00:00Z,2024-10-03T08:00:00Z,,52.4872562,0.4012455,9.74,1.71,4.98,57.99,0.27,84.59,102279.45,233.27,0.0
2024-10-02T12:00:00Z,2024-10-03T09:00:00Z,,52.4872562,0.4012455,12.16,1.97,3.46,61.34,0.25,79.49,102316.74,332.06,0.0
2024-10-02T12:00:00Z,2024-10-03T10:00:00Z,,52.4872562,0.4012455,14.02,2.25,2.61,56.41,0.43,74.91,102319.85,388.73,0.0
2024-10-02T12:00:00Z,2024-10-03T11:00:00Z,,52.4872562,0.4012455,15.06,3.69,4.68,65.88,0.25,67.41,102279.45,285.5,0.0
2024-10-02T12:00:00Z,2024-10-03T12:00:00Z,,52.4872562,0.4012455,14.31,4.26,6.42,77.84,0.82,69.1,102248.35,307.67,0.0
2024-10-02T12:00:00Z,2024-10-03T13:00:00Z,,52.4872562,0.4012455,15.47,4.12,5.49,75.74,0.94,62.94,102245.25,273.89,0.0
2024-10-02T12:00:00Z,2024-10-03T14:00:00Z,,52.4872562,0.4012455,15.02,4.23,5.87,76.25,0.46,65.61,102242.14,284.4,0.0
2024-10-02T12:00:00Z,2024-10-03T15:00:00Z,,52.4872562,0.4012455,15.01,3.37,4.92,77.47,0.34,63.73,102226.59,190.22,0.0
2024-10-02T12:00:00Z,2024-10-03T16:00:00Z,,52.4872562,0.4012455,14.18,2.57,4.67,80.52,0.04,73.35,102207.95,75.47,0.0
2024-10-02T12:00:00Z,2024-10-03T17:00:00Z,,52.4872562,0.4012455,12.54,1.54,3.65,81.14,0.0,81.61,102223.48,5.41,0.0
2024-10-02T12:00:00Z,2024-10-03T18:00:00Z,,52.4872562,0.4012455,10.55,1.43,3.6,77.11,0.0,86.0,102263.9,0.05,0.0
2024-10-02T12:00:00Z,2024-10-03T19:00:00Z,,52.4872562,0.4012455,9.31,1.56,4.28,86.95,0.0,88.36,102291.88,0.0,0.0
2024-10-02T12:00:00Z,2024-10-03T20:00:00Z,,52.4872562,0.4012455,8.61,1.37,3.99,88.82,0.0,89.3,102310.53,0.09,0.0
2024-10-02T12:00:00Z,2024-10-03T21:00:00Z,,52.4872562,0.4012455,8.07,1.14,3.44,83.33,0.0,88.98,102313.63,0.27,0.0
2024-10-02T12:00:00Z,2024-10-03T22:00:00Z,,52.4872562,0.4012455,7.64,1.23,3.68,83.3,0.37,89.3,102307.42,0.98,0.0
2024-10-02T12:00:00Z,2024-10-03T23:00:00Z,,52.4872562,0.4012455,7.32,0.86,2.98,91.05,0.15,88.83,102291.88,0.0,0.0
2024-10-02T12:00:00Z,2024-10-04T00:00:00Z,,52.4872562,0.4012455,6.78,0.97,2.6,91.58,0.32,89.77,102279.45,0.62,0.0
2024-10-02T12:00:00Z,2024-10-04T01:00:00Z,,52.4872562,0.4012455,6.35,0.77,2.3,95.84,0.33,90.55,102254.57,0.0,0.0
2024-10-02T12:00:00Z,2024-10-04T02:00:00Z,,52.4872562,0.4012455,6.35,0.78,2.35,99.11,0.61,89.46,102220.38,0.13,0.0
2024-10-02T12:00:00Z,2024-10-04T03:00:00Z,,52.4872562,0.4012455,6.35,0.84,2.17,98.02,1.0,90.08,102201.73,0.0,0.0
2024-10-02T12:00:00Z,2024-10-04T04:00:00Z,,52.4872562,0.4012455,6.14,1.16,2.75,92.03,0.59,92.44,102207.95,0.98,0.0
2024-10-02T12:00:00Z,2024-10-04T05:00:00Z,,52.4872562,0.4012455,5.81,1.01,3.24,101.78,0.56,92.44,102214.16,0.0,0.0
2024-10-02T12:00:00Z,2024-10-04T06:00:00Z,,52.4872562,0.4012455,6.14,0.65,2.58,118.41,0.77,90.4,102211.05,18.36,0.0
2024-10-02T12:00:00Z,2024-10-04T07:00:00Z,,52.4872562,0.4012455,6.89,0.9,2.64,128.87,0.71,89.77,102229.7,99.68,0.0
2024-10-02T12:00:00Z,2024-10-04T08:00:00Z,,52.4872562,0.4012455,8.61,0.99,2.64,121.61,0.26,90.24,102260.79,216.64,0.0
2024-10-02T12:00:00Z,2024-10-04T09:00:00Z,,52.4872562,0.4012455,11.03,1.23,2.47,142.54,0.92,85.06,102267.01,300.54,0.0
2024-10-02T12:00:00Z,2024-10-04T10:00:00Z,,52.4872562,0.4012455,12.97,1.57,1.71,150.26,0.74,80.98,102232.81,385.31,0.0
2024-10-02T12:00:00Z,2024-10-04T11:00:00Z,,52.4872562,0.4012455,14.55,1.78,1.95,149.91,0.29,76.83,102192.4,396.13,0.0
2024-10-02T12:00:00Z,2024-10-04T12:00:00Z,,52.4872562,0.4012455,15.23,3.56,4.42,154.38,0.67,67.41,102131.78,337.29,0.0
2024-10-02T12:00:00Z,2024-10-04T13:00:00Z,,52.4872562,0.4012455,15.32,4.09,5.34,157.67,0.53,65.38,102096.03,333.92,0.0
2024-10-02T12:00:00Z,2024-10-04T14:00:00Z,,52.4872562,0.4012455,15.34,3.93,5.27,155.67,0.35,64.2,102058.73,248.35,0.0
2024-10-02T12:00:00Z,2024-10-04T15:00:00Z,,52.4872562,0.4012455,14.89,3.67,5.32,158.15,0.34,67.89,102032.3,168.71,0.0
2024-10-02T12:00:00Z,2024-10-04T16:00:00Z,,52.4872562,0.4012455,14.07,3.0,5.25,158.11,0.1,74.91,102029.98,70.06,0.0
2024-10-02T12:00:00Z,2024-10-04T17:00:00Z,,52.4872562,0.4012455,12.32,2.87,6.12,146.09,0.3,81.69,102026.09,3.99,0.0
2024-10-02T12:00:00Z,2024-10-04T18:00:00Z,,52.4872562,0.4012455,10.28,2.84,6.78,145.0,0.32,87.1,102033.86,0.18,0.0
2024-10-02T12:00:00Z,2024-10-04T19:00:00Z,,52.4872562,0.4012455,9.15,3.02,7.43,143.5,0.09,90.4,102034.64,1.33,0.0
2024-10-02T12:00:00Z,2024-10-04T20:00:00Z,,52.4872562,0.4012455,8.4,2.72,7.07,152.0,1.0,92.12,102057.17,0.0,0.0
2024-10-02T12:00:00Z,2024-10-04T21:00:00Z,,52.4872562,0.4012455,7.97,2.7,6.98,153.39,1.0,92.12,102058.73,1.77,0.0
2024-10-02T12:00:00Z,2024-10-04T22:00:00Z,,52.4872562,0.4012455,7.64,2.68,7.05,157.51,0.85,92.12,102029.2,0.0,0.0
2024-10-02T12:00:00Z,2024-10-04T23:00:00Z,,52.4872562,0.4012455,7.43,2.51,6.74,165.22,1.0,92.75,101996.55,0.36,0.0
2024-10-02T12:00:00Z,2024-10-05T00:00:00Z,,52.4872562,0.4012455,7.11,2.28,6.18,167.51,0.94,93.38,101952.65,0.0,0.0
2024-10-02T12:00:00Z,2024-10-05T01:00:00Z,,52.4872562,0.4012455,6.89,2.14,5.96,167.98,0.59,93.38,101921.17,0.0,0.0
2024-10-02T12:00:00Z,2024-10-05T02:00:00Z,,52.4872562,0.4012455,6.57,1.92,5.48,171.36,0.91,94.0,101886.2,2.08,0.0
2024-10-02T12:00:00Z,2024-10-05T03:00:00Z,,52.4872562,0.4012455,6.57,2.06,5.81,165.71,0.77,94.0,101839.57,0.0,0.0
2024-10-02T12:00:00Z,2024-10-05T04:00:00Z,,52.4872562,0.4012455,6.57,2.25,6.35,161.83,0.77,93.69,101794.49,0.0,0.0
2024-10-02T12:00:00Z,2024-10-05T05:00:00Z,,52.4872562,0.4012455,7.0,2.58,7.21,160.27,0.67,93.69,101749.42,0.0,0.0
2024-10-02T12:00:00Z,2024-10-05T06:00:00Z,,52.4872562,0.4012455,7.32,2.95,7.77,159.31,0.49,94.0,101726.1,23.55,0.0
2024-10-02T12:00:00Z,2024-10-05T07:00:00Z,,52.4872562,0.4012455,7.97,3.23,8.34,154.75,0.26,93.38,101735.43,109.12,0.0
2024-10-02T12:00:00Z,2024-10-05T08:00:00Z,,52.4872562,0.4012455,10.22,3.67,7.91,153.27,0.32,89.3,101732.32,216.91,0.0
2024-10-02T12:00:00Z,2024-10-05T09:00:00Z,,52.4872562,0.4012455,12.38,4.45,6.15,146.81,0.58,84.91,101713.67,279.7,0.0
2024-10-02T12:00:00Z,2024-10-05T10:00:00Z,,52.4872562,0.4012455,13.42,5.45,7.61,156.9,0.87,82.08,101667.04,338.71,0.0
2024-10-02T12:00:00Z,2024-10-05T11:00:00Z,,52.4872562,0.4012455,14.38,5.97,8.32,166.4,0.6,73.44,101601.76,348.91,0.0
2024-10-02T12:00:00Z,2024-10-05T12:00:00Z,,52.4872562,0.4012455,14.8,6.23,8.85,167.53,0.81,68.12,101514.72,336.58,0.0
2024-10-02T12:00:00Z,2024-10-05T13:00:00Z,,52.4872562,0.4012455,14.78,6.23,8.71,163.92,0.52,71.1,101415.24,330.02,0.0
2024-10-02T12:00:00Z,2024-10-05T14:00:00Z,,52.4872562,0.4012455,14.97,6.18,9.05,165.95,0.47,70.0,101321.98,253.09,0.0
2024-10-02T12:00:00Z,2024-10-05T15:00:00Z,,52.4872562,0.4012455,14.72,5.73,8.67,164.83,0.45,71.76,101247.38,166.1,0.0
2024-10-02T12:00:00Z,2024-10-05T16:00:00Z,,52.4872562,0.4012455,13.99,4.91,8.11,153.62,0.28,76.51,101185.2,65.27,0.0
2024-10-02T12:00:00Z,2024-10-05T17:00:00Z,,52.4872562,0.4012455,12.43,4.33,8.71,146.57,0.05,82.87,101129.25,1.95,0.0
2024-10-02T12:00:00Z,2024-10-05T18:00:00Z,,52.4872562,0.4012455,10.87,4.48,9.85,141.84,1.0,87.26,101067.08,2.79,0.0
2024-10-02T12:00:00Z,2024-10-05T21:00:00Z,,52.4872562,0.4012455,9.79,4.62,10.46,143.11,0.31,90.08,100880.55,2.35,0.0
2024-10-02T12:00:00Z,2024-10-06T00:00:00Z,,52.4872562,0.4012455,10.01,5.3,10.57,136.08,1.0,90.08,100607.0,2.71,0.14
2024-10-02T12:00:00Z,2024-10-06T03:00:00Z,,52.4872562,0.4012455,10.82,5.14,9.48,136.95,1.0,90.71,100296.13,1.26,0.87
2024-10-02T12:00:00Z,2024-10-06T06:00:00Z,,52.4872562,0.4012455,11.19,5.93,10.07,144.81,1.0,90.55,100072.31,9.76,0.5
2024-10-02T12:00:00Z,2024-10-06T09:00:00Z,,52.4872562,0.4012455,11.19,5.89,9.72,147.8,1.0,89.14,100022.58,108.63,0.01
2024-10-02T12:00:00Z,2024-10-06T12:00:00Z,,52.4872562,0.4012455,14.98,6.15,9.51,191.44,1.0,84.75,99898.23,195.98,0.0
2024-10-02T12:00:00Z,2024-10-06T15:00:00Z,,52.4872562,0.4012455,17.78,3.67,5.29,177.41,0.88,83.96,99773.88,57.79,0.41
2024-10-02T12:00:00Z,2024-10-06T18:00:00Z,,52.4872562,0.4012455,15.35,4.05,8.23,181.23,0.93,94.63,99773.88,0.95,0.46
2024-10-02T12:00:00Z,2024-10-06T21:00:00Z,,52.4872562,0.4012455,14.74,4.57,8.64,181.78,0.87,95.57,99749.02,1.98,0.01
2024-10-02T12:00:00Z,2024-10-07T00:00:00Z,,52.4872562,0.4012455,12.0,3.69,8.12,210.56,0.31,94.32,99773.88,1.94,0.0
2024-10-02T12:00:00Z,2024-10-07T03:00:00Z,,52.4872562,0.4012455,10.17,2.93,6.9,186.53,0.65,96.51,99724.15,0.64,0.0
2024-10-02T12:00:00Z,2024-10-07T06:00:00Z,,52.4872562,0.4012455,9.42,2.8,7.25,155.27,0.6,96.2,99649.54,67.59,0.0
2024-10-02T12:00:00Z,2024-10-07T09:00:00Z,,52.4872562,0.4012455,13.24,3.06,5.7,134.29,1.0,94.95,99525.2,79.09,1.14
2024-10-02T12:00:00Z,2024-10-07T12:00:00Z,,52.4872562,0.4012455,13.94,1.54,2.43,135.07,1.0,97.46,99301.38,,
2024-10-02T12:00:00Z,2024-10-02T12:00:00Z,,52.8776682,0.7906532,13.26,7.89,11.79,47.29,0.91,82.55,101601.76,189.8,
2024-10-02T12:00:00Z,2024-10-02T13:00:00Z,,52.8776682,0.7906532,13.05,7.57,11.78,49.46,1.0,82.63,101620.41,132.04,0.0
2024-10-02T12:00:00Z,2024-10-02T14:00:00Z,,52.8776682,0.7906532,13.48,7.46,11.66,48.04,0.83,77.85,101673.26,166.83,0.0
2024-10-02T12:00:00Z,2024-10-02T15:00:00Z,,52.8776682,0.7906532,13.26,7.26,11.4,47.33,0.69,75.49,101701.23,123.36,0.0
2024-10-02T12:00:00Z,2024-10-02T16:00:00Z,,52.8776682,0.7906532,12.75,6.58,10.55,44.01,0.69,76.0,101755.64,51.08,0.0
2024-10-02T12:00:00Z,2024-10-02T17:00:00Z,,52.8776682,0.7906532,12.05,5.79,9.74,40.12,0.6,74.0,101794.49,3.86,0.0
2024-10-02T12:00:00Z,2024-10-02T18:00:00Z,,52.8776682,0.7906532,11.35,4.91,9.41,40.31,0.47,73.42,101894.36,0.05,0.0
2024-10-02T12:00:00Z,2024-10-02T19:00:00Z,,52.8776682,0.7906532,11.08,4.9,9.56,42.58,0.52,74.0,101953.04,0.0,0.0
2024-10-02T12:00:00Z,2024-10-02T20:00:00Z,,52.8776682,0.7906532,10.87,4.66,9.58,49.01,0.47,73.41,101999.66,0.0,0.0
2024-10-02T12:00:00Z,2024-10-02T21:00:00Z,,52.8776682,0.7906532,10.55,4.18,9.41,54.0,0.44,73.89,102011.32,0.49,0.0
