number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_max_depth,params_max_iter,params_min_samples_leaf,state,alpha
0,0.004056941468198628,2024-10-26 15:30:35.572199,2024-10-26 15:30:35.678339,0 days 00:00:00.106140,0.04705491643890425,0.030322783817217543,5,741,3,COMPLETE,0.1
1,0.004056941468198628,2024-10-26 15:30:35.678588,2024-10-26 15:30:35.765974,0 days 00:00:00.087386,0.5869876599838042,0.05902992134479584,3,189,33,COMPLETE,0.1
2,0.004056941468198628,2024-10-26 15:30:35.766149,2024-10-26 15:30:35.859166,0 days 00:00:00.093017,0.6016226584674377,0.06048569427359132,11,430,6,COMPLETE,0.1
3,0.004056941468198628,2024-10-26 15:30:35.859323,2024-10-26 15:30:35.945227,0 days 00:00:00.085904,0.08277151553212514,0.021388857449191747,12,578,20,COMPLETE,0.1
4,0.004056941468198628,2024-10-26 15:30:35.945374,2024-10-26 15:30:36.029743,0 days 00:00:00.084369,0.753888097636402,0.017038797855940077,11,356,39,COMPLETE,0.1
5,0.004056941468198628,2024-10-26 15:30:36.029907,2024-10-26 15:30:36.116473,0 days 00:00:00.086566,0.6440495570239712,0.015810449336492963,8,964,14,COMPLETE,0.1
6,0.004056941468198628,2024-10-26 15:30:36.116809,2024-10-26 15:30:36.212437,0 days 00:00:00.095628,0.8907837078072576,0.05747088503843321,10,395,35,COMPLETE,0.1
7,0.004056941468198628,2024-10-26 15:30:36.212598,2024-10-26 15:30:36.298899,0 days 00:00:00.086301,0.542052612681389,0.0370273162777437,19,889,19,COMPLETE,0.1
8,0.004056941468198628,2024-10-26 15:30:36.299239,2024-10-26 15:30:36.422217,0 days 00:00:00.122978,0.48950038914194294,0.07081337899132728,12,569,6,COMPLETE,0.1
9,0.004056941468198628,2024-10-26 15:30:36.422393,2024-10-26 15:30:36.504952,0 days 00:00:00.082559,0.6931668934631009,0.025841454394786183,9,762,33,COMPLETE,0.1
10,0.004056941468198628,2024-10-26 15:30:36.505144,2024-10-26 15:30:36.598724,0 days 00:00:00.093580,0.07414685700181955,0.09874614647812655,4,737,1,COMPLETE,0.1
