number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
0,4.348909154565379,2024-10-12 21:27:56.959007,2024-10-12 21:28:01.918810,0 days 00:00:04.959803,0.6009039232989948,0.019403530155362073,15,31,364,126,0.7581815831116506,0.7586314210495746,0.5858030501518517,COMPLETE,0.1
1,4.236499646263017,2024-10-12 21:28:01.919038,2024-10-12 21:28:12.078746,0 days 00:00:10.159708,0.6731621355248344,0.03182967475324039,8,6,972,95,0.7634742974048719,0.2955564092776297,0.8265733808049129,COMPLETE,0.1
2,4.132498915380505,2024-10-12 21:28:12.078961,2024-10-12 21:28:24.247765,0 days 00:00:12.168804,0.8808664708157061,0.010225025506705844,19,45,787,162,0.1829965192603843,0.30906047262531067,0.6531035889620862,COMPLETE,0.1
3,3.958834250826463,2024-10-12 21:28:24.247927,2024-10-12 21:28:40.336553,0 days 00:00:16.088626,0.5053477695915398,0.08352798744453825,20,38,958,148,0.3888501399355554,0.25266623375462094,0.6957213204402982,COMPLETE,0.1
4,4.2395009004072,2024-10-12 21:28:40.336727,2024-10-12 21:28:51.714178,0 days 00:00:11.377451,0.7958376612202795,0.01913706445059767,9,27,919,130,0.28640635304558204,0.9289789919089364,0.8591400304781192,COMPLETE,0.1
5,4.4722141703003,2024-10-12 21:28:51.714346,2024-10-12 21:28:54.249513,0 days 00:00:02.535167,0.5180963160588908,0.057402836583735295,6,70,553,51,0.7436530605391722,0.22636934934979813,0.5953441487204623,PRUNED,0.1
6,4.276105427979011,2024-10-12 21:28:54.249686,2024-10-12 21:29:03.823727,0 days 00:00:09.574041,0.5933283192667989,0.014230192517923637,9,72,981,239,0.6094277150635319,0.5588942637828802,0.8150769978579291,PRUNED,0.1
7,4.906628707714643,2024-10-12 21:29:03.823860,2024-10-12 21:29:06.534094,0 days 00:00:02.710234,0.8482324396059969,0.015167563160781872,14,85,253,223,0.728203291860604,0.3530752451538395,0.8340330257483277,PRUNED,0.1
8,4.5043134017723165,2024-10-12 21:29:06.534220,2024-10-12 21:29:11.302045,0 days 00:00:04.767825,0.5186749406534137,0.01503493825820719,14,80,357,259,0.9904350736409969,0.2260011457283707,0.666753000644219,PRUNED,0.1
9,4.177334969372557,2024-10-12 21:29:11.303545,2024-10-12 21:29:15.972501,0 days 00:00:04.668956,0.6033142939379275,0.03581599280857854,11,71,395,260,0.0004803504356419852,0.8381839742558902,0.5245190518791416,COMPLETE,0.1
10,4.130023306011576,2024-10-12 21:29:15.972684,2024-10-12 21:29:19.399955,0 days 00:00:03.427271,0.9764562398374241,0.09687540431387594,20,47,669,38,0.39434762722861993,0.08050259188580064,0.9764398760945623,COMPLETE,0.1
11,4.4998286912238585,2024-10-12 21:29:19.400132,2024-10-12 21:29:21.811487,0 days 00:00:02.411355,0.9763925708934877,0.09832025809132462,20,47,693,23,0.4174009501987843,0.02746121247131028,0.9982993973288083,PRUNED,0.1
12,3.9189177873808045,2024-10-12 21:29:21.811615,2024-10-12 21:29:34.655245,0 days 00:00:12.843630,0.9761175496819184,0.09776502818898879,17,30,710,182,0.4036313935259115,0.004235410030799414,0.9433714266138832,COMPLETE,0.1
