number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,alpha
0,0.0017613398294830083,2024-10-16 21:54:04.837532,2024-10-16 21:54:13.920233,0 days 00:00:09.082701,0.6328343877197977,0.027329525059528383,17,90,7.163674918914524,0.45706306104364336,868,157,0.2767928676263822,0.20151831788156693,0.9741851207832154,2,COMPLETE,0.1
1,0.001789043827164985,2024-10-16 21:54:13.920554,2024-10-16 21:54:18.009497,0 days 00:00:04.088943,0.5875890636461463,0.0635043398008385,15,76,1.760652856576353,0.5268368301304994,736,92,0.9976064677655373,0.17843265662199814,0.7986298745932404,6,COMPLETE,0.1
2,0.001846682836530487,2024-10-16 21:54:18.009921,2024-10-16 21:54:19.593970,0 days 00:00:01.584049,0.7080811296350954,0.028674245998067432,11,72,0.6928313537738694,0.7690235724663849,218,282,0.6194559595134314,0.17022827900148796,0.6156531719661287,5,COMPLETE,0.1
3,0.0017567166218463966,2024-10-16 21:54:19.594197,2024-10-16 21:54:22.163237,0 days 00:00:02.569040,0.929440079568526,0.04473590499149266,18,59,4.454757481653855,0.5239046640844609,581,148,0.18125679332397526,0.5483591955719113,0.6139162292643341,6,COMPLETE,0.1
4,0.0018162777504161847,2024-10-16 21:54:22.163461,2024-10-16 21:54:24.369875,0 days 00:00:02.206414,0.7887285195471627,0.01595458818072081,4,66,7.126621820277171,0.9674344184449409,707,161,0.092438281157882,0.7337634533291981,0.8952589075461824,5,COMPLETE,0.1
5,0.0018226497846699035,2024-10-16 21:54:24.370221,2024-10-16 21:54:29.583611,0 days 00:00:05.213390,0.7149064363328319,0.01211062999996721,12,29,6.760115205875561,0.8976789138119096,501,63,0.16444745266456562,0.45540451213384003,0.773726963415375,6,PRUNED,0.1
6,0.0017596420262756944,2024-10-16 21:54:29.583773,2024-10-16 21:54:32.601946,0 days 00:00:03.018173,0.6565291379523138,0.03403856968628477,12,83,4.849045258188239,0.3805534358910716,378,299,0.3342959613299956,0.6600903034791386,0.6990875434378068,8,COMPLETE,0.1
7,0.0018775738831318563,2024-10-16 21:54:32.602229,2024-10-16 21:54:35.160970,0 days 00:00:02.558741,0.9932396634709947,0.014190271805619568,9,26,0.8323203442363832,0.1757038732212819,321,38,0.1045278842933508,0.8911680555184007,0.5402036481129484,3,PRUNED,0.1
8,0.001766859013598838,2024-10-16 21:54:35.161106,2024-10-16 21:54:38.764399,0 days 00:00:03.603293,0.9492445282086978,0.04067616898543614,7,40,0.688772423804518,0.48532622077349263,820,67,0.8144076433582679,0.6343545724231412,0.9905734585401127,4,COMPLETE,0.1
9,0.0017836382166285297,2024-10-16 21:54:38.764626,2024-10-16 21:54:47.918460,0 days 00:00:09.153834,0.5456857343303183,0.010658996555575178,10,76,6.557378176378392,0.581870645126481,860,134,0.22786567878179131,0.40271619500185374,0.862425680909316,3,PRUNED,0.1
