number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_l1_ratio,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
0,0.03245766847056397,2024-10-17 19:54:35.320527,2024-10-17 19:54:37.218154,0 days 00:00:01.897627,0.006848763635249725,0.8982449923538502,0.5776636428806872,0.014685844814220845,18,76,3.1276423154040254,0.5108679465321686,301,238,0.9565083507627169,0.5531547100427889,0.9220341353900177,7,COMPLETE,0.1
1,0.0062888300128340945,2024-10-17 19:54:37.218498,2024-10-17 19:54:41.250763,0 days 00:00:04.032265,0.00013079102995013932,0.5349698838247552,0.07467826256253618,0.08711342647095378,15,76,8.392095590454709,0.5547383272203766,802,58,0.16336223333690458,0.6726792281216228,0.9133268508505095,4,COMPLETE,0.1
2,0.006825470366711378,2024-10-17 19:54:41.250998,2024-10-17 19:54:43.105151,0 days 00:00:01.854153,0.00020078102893744513,0.7849233068136441,0.5955048923665746,0.05699622802351925,19,48,3.1970873282542107,0.8733013192215797,681,147,0.79266503373724,0.6027624998621688,0.5377447657364485,9,COMPLETE,0.1
3,0.035176857628054795,2024-10-17 19:54:43.105394,2024-10-17 19:54:43.694594,0 days 00:00:00.589200,0.015956146528426817,0.7124093941527319,0.4780107553854691,0.01196013763661687,13,16,8.638822830385928,0.8281638938686906,112,198,0.9324495301919604,0.9501001770536128,0.579448602016658,10,COMPLETE,0.1
4,0.025680078453592013,2024-10-17 19:54:43.694817,2024-10-17 19:54:45.812555,0 days 00:00:02.117738,0.006978831771479777,0.5935472220989995,0.23002405908345414,0.023961356675657918,8,92,1.865127342460059,0.5380590506245063,452,201,0.5752593780566468,0.7015601359036789,0.7883965897070445,8,COMPLETE,0.1
5,0.035176857628054795,2024-10-17 19:54:45.812856,2024-10-17 19:55:02.361185,0 days 00:00:16.548329,0.545510465805047,0.7075778236166901,0.27244832347200143,0.015694315292675426,15,47,2.6063498797924662,0.12545055631396207,898,268,0.11025780537952379,0.2898941549286138,0.6055180043751727,6,COMPLETE,0.1
6,0.035176857628054795,2024-10-17 19:55:02.361424,2024-10-17 19:55:04.895850,0 days 00:00:02.534426,0.009062984295319472,0.8418718369350107,0.8438938857503457,0.02717646289394966,8,37,5.471012839298003,0.4380319118997127,530,36,0.09876317336360008,0.5487498443587672,0.972411548082976,8,COMPLETE,0.1
7,0.035176857628054795,2024-10-17 19:55:04.896078,2024-10-17 19:55:08.864322,0 days 00:00:03.968244,0.3971030767342768,0.6048168776496592,0.2574366088372356,0.038017768299574366,9,14,2.771632322491576,0.16093066141191936,705,42,0.12386058764679486,0.44272724362286153,0.5675506750442674,1,COMPLETE,0.1
8,0.005872369032245097,2024-10-17 19:55:08.864552,2024-10-17 19:55:14.973392,0 days 00:00:06.108840,0.00013750669133034998,0.7155668647438652,0.4098593249860738,0.03882193072987235,11,34,7.711005300795174,0.06965334486129027,676,68,0.23301340846359353,0.8199413206269862,0.5665284749548261,8,COMPLETE,0.1
9,0.013855197541077094,2024-10-17 19:55:14.973624,2024-10-17 19:55:17.230915,0 days 00:00:02.257291,0.0016767589241527736,0.7792799857154091,0.6591004068958851,0.0764626239752325,9,38,6.859574529018804,0.7733992205351733,622,126,0.10390878479317078,0.5570799561664346,0.7322489573497897,2,COMPLETE,0.1
10,0.009200155463299822,2024-10-17 19:55:17.231146,2024-10-17 19:55:18.721263,0 days 00:00:01.490117,0.0006745451319670692,0.962047048751884,0.9289172710386836,0.0448092361726183,3,5,9.957170763226667,0.18056943985055907,940,99,0.3882194169734625,0.03672233107367462,0.690891328951297,4,COMPLETE,0.1
11,0.006124713582476429,2024-10-17 19:55:18.721497,2024-10-17 19:55:22.617259,0 days 00:00:03.895762,0.00010135617402432035,0.5297203347185271,0.027158378767169977,0.09747877969166573,14,74,7.460462840344405,0.3360884785836559,826,81,0.34782444695888337,0.8859735501196051,0.8234551088564235,4,COMPLETE,0.1
12,0.007637637274376167,2024-10-17 19:55:22.617488,2024-10-17 19:55:31.246892,0 days 00:00:08.629404,0.0005867476023303286,0.6435511152611366,0.00210946739514253,0.060213779513051215,12,70,6.240746225881573,0.003478152174403726,809,82,0.40197571980251,0.9380319271134818,0.8124875823639309,4,COMPLETE,0.1
13,0.006334587844755824,2024-10-17 19:55:31.247132,2024-10-17 19:55:33.525281,0 days 00:00:02.278149,0.00011924307218847842,0.5032269161032248,0.4089135178738777,0.09907229370142956,16,63,7.504893059820368,0.33339202160453674,443,101,0.30423451220858183,0.8213353336024167,0.6511762481269535,6,COMPLETE,0.1
14,0.011766611844538356,2024-10-17 19:55:33.525517,2024-10-17 19:55:36.201152,0 days 00:00:02.675635,0.0011998987392331654,0.6675676483147004,0.12399992293901196,0.020376311022238712,5,87,4.790370846381773,0.291970787144557,803,23,0.5983587331258774,0.8042180936343879,0.8012999378875905,3,COMPLETE,0.1
15,0.035176857628054795,2024-10-17 19:55:36.201395,2024-10-17 19:55:46.189598,0 days 00:00:09.988203,0.061985804176452435,0.5694697180511415,0.7376645401061248,0.03514700976533124,12,29,9.728709190513776,0.024603283678215473,998,74,0.2701434994506391,0.9927158168374546,0.8672170486531566,5,COMPLETE,0.1
16,0.0075115280691484074,2024-10-17 19:55:46.189826,2024-10-17 19:55:47.694415,0 days 00:00:01.504589,0.000341015813227097,0.9925523398414868,0.35863811293302456,0.05235985343190018,14,55,4.73927690992536,0.6644586071124543,581,171,0.4766250622653961,0.8472953753703532,0.7107854294812707,10,COMPLETE,0.1
17,0.015643278169647713,2024-10-17 19:55:47.694781,2024-10-17 19:55:50.511044,0 days 00:00:02.816263,0.0025743590748716146,0.8388813950983329,0.15238153539038837,0.07155433844571416,17,84,7.997362985440558,0.31583128813336514,734,122,0.29175545919397283,0.315279861792487,0.5077825122216002,7,COMPLETE,0.1
18,0.007894816472990627,2024-10-17 19:55:50.511267,2024-10-17 19:55:52.720411,0 days 00:00:02.209144,0.0003782181852176019,0.640610470126044,0.38029155863243663,0.040342722087749694,11,97,0.43683933363298877,0.9894760091940255,877,69,0.7175440876567123,0.7386040253014743,0.6452294717590004,5,COMPLETE,0.1
19,0.035176857628054795,2024-10-17 19:55:52.720653,2024-10-17 19:55:55.274878,0 days 00:00:02.554225,0.051732051003525334,0.7198662497942285,0.9965450485237801,0.029445790867220118,10,60,6.1437520065286675,0.4137988162859817,364,155,0.00867121708588503,0.4250036389391028,0.872304393779695,2,COMPLETE,0.1
0,0.011434892007533708,2024-10-17 19:56:34.709430,2024-10-17 19:56:37.607932,0 days 00:00:02.898502,0.0016328404922401093,0.5867650606292081,0.8264734483731124,0.0398014296184961,20,94,9.713706546352833,0.569632717512966,465,219,0.17923257889226618,0.3537636684933857,0.8088399444015046,5,COMPLETE,0.2
