number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
0,0.00658467079314616,2024-10-17 22:18:44.507344,2024-10-17 22:18:48.148470,0 days 00:00:03.641126,0.38075251879978855,0.9134486631844709,0.03499344259723373,9,81,7.815215817395193,0.12307227342070681,493,65,0.09264052274514556,0.4975602456885073,0.6714316152455838,3,COMPLETE,0.1
1,0.0072768866817401025,2024-10-17 22:18:48.148811,2024-10-17 22:18:48.728875,0 days 00:00:00.580064,0.2542253746477364,0.7189546563815347,0.0480296733455244,3,19,8.886069069640804,0.5615483669416732,188,151,0.3831357748484274,0.7747039500481955,0.8498171990335417,8,COMPLETE,0.1
2,0.007360476817401811,2024-10-17 22:18:48.729117,2024-10-17 22:18:50.919417,0 days 00:00:02.190300,0.3668182551853304,0.6326528775605758,0.025489132493358456,18,64,2.5616920016998623,0.5369276719857191,460,175,0.7495272840875072,0.5308672386199724,0.6071651136287035,4,COMPLETE,0.1
3,0.007818800447122567,2024-10-17 22:18:50.919644,2024-10-17 22:18:51.525563,0 days 00:00:00.605919,0.02153042645373444,0.5131916874515638,0.041452107877505244,3,5,6.895917178242096,0.3790330034887621,396,263,0.7924899037676559,0.9838045122042841,0.5151817654306747,7,COMPLETE,0.1
4,0.006386347180345907,2024-10-17 22:18:51.525780,2024-10-17 22:18:52.787204,0 days 00:00:01.261424,0.0007508648555631166,0.5365215839257969,0.027458033035529954,8,29,4.541452756026315,0.04819483992840079,129,201,0.7595391457144454,0.5024041636065426,0.8214083151868277,6,COMPLETE,0.1
5,0.0069724216672632615,2024-10-17 22:18:52.787424,2024-10-17 22:18:54.964102,0 days 00:00:02.176678,0.01192422474544029,0.8762661908431142,0.07806926483288615,7,94,3.094235349403912,0.35124841515535377,936,207,0.3241671455966596,0.6086714698366558,0.5724431855472665,10,COMPLETE,0.1
6,0.006628379147727888,2024-10-17 22:18:54.964310,2024-10-17 22:18:59.875620,0 days 00:00:04.911310,0.036881069287647526,0.6649645505270503,0.036354658642695756,13,81,2.257326964910802,0.05638589835778185,726,45,0.3100264658283277,0.6056388280025697,0.8369470711645257,8,COMPLETE,0.1
7,0.007369885323672395,2024-10-17 22:18:59.875828,2024-10-17 22:19:01.048635,0 days 00:00:01.172807,0.009768599956631449,0.9825629233527026,0.0876563655047911,9,28,1.79016733739243,0.7414100511112856,549,247,0.7837917921559097,0.5703614067511507,0.5118427043425113,8,COMPLETE,0.1
8,0.007581112307021494,2024-10-17 22:19:01.048848,2024-10-17 22:19:02.972404,0 days 00:00:01.923556,0.12325553446146265,0.8099007503107497,0.031853996944611065,4,37,4.034470193231394,0.5450888736644327,837,80,0.8422946673816734,0.4974369593686241,0.8977165924795317,5,COMPLETE,0.1
9,0.007299464884087381,2024-10-17 22:19:02.972634,2024-10-17 22:19:06.302131,0 days 00:00:03.329497,0.005444503135801514,0.8711914337548327,0.010692284983183904,20,94,5.754010143954932,0.9931049907132558,911,110,0.5245416775444245,0.9499514406146203,0.9505992555597313,6,COMPLETE,0.1
