number,value,datetime_start,datetime_complete,duration,params_alpha_1,params_alpha_2,params_colsample_bytree,params_lambda_1,params_lambda_2,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
0,0.0041262294052995035,2024-10-17 23:29:45.334935,2024-10-17 23:29:54.040341,0 days 00:00:08.705406,1.2192916796495041e-06,0.00848805642066009,0.8211622916825283,1.7051228606539439e-06,8.602485763613769e-05,0.05218177069202109,10,15,0.577287683646948,0.38020626796956547,310,241,0.09692846236710428,0.052519131968979504,0.8750605032407448,4,COMPLETE,0.4
1,0.004483640625849402,2024-10-17 23:29:54.040768,2024-10-17 23:29:58.311702,0 days 00:00:04.270934,1.0682672597258701e-05,1.0189454615129796e-05,0.949729866775194,2.829273366103672e-05,0.00011400340126074775,0.07813242417753571,15,41,6.2779349116149294,0.8021557250508093,780,144,0.62289989667627,0.7926568004370141,0.5402736599165632,7,COMPLETE,0.4
2,0.00429996202916743,2024-10-17 23:29:58.312004,2024-10-17 23:30:15.134152,0 days 00:00:16.822148,7.32144363975884e-05,0.01767234434799776,0.5735245565791633,0.022343614164540657,8.736727195851932e-06,0.01662971475946293,20,31,5.868534079200756,0.6617860288730136,692,215,0.9384600896383812,0.4444077420741329,0.921133898207491,9,COMPLETE,0.4
3,0.004013441025333075,2024-10-17 23:30:15.134438,2024-10-17 23:30:30.030906,0 days 00:00:14.896468,1.1153484912248159e-06,0.017487558609189928,0.8765369930311209,1.3750343856544404e-05,0.00025957723749150464,0.029201522387006226,11,26,7.287332857498521,0.3492932101527687,685,223,0.784452280394536,0.4888926306653786,0.7285972659316673,10,COMPLETE,0.4
4,0.0049628244822015315,2024-10-17 23:30:30.031200,2024-10-17 23:30:30.866416,0 days 00:00:00.835216,0.0044494138867192164,0.0004516781354631699,0.9841796525095903,0.007787450248300182,0.004063256962570904,0.07227896679825134,6,54,8.402130895320168,0.797587146851574,123,135,0.1423061749048491,0.14522786777613828,0.6370436274892957,4,COMPLETE,0.4
5,0.004505751832208043,2024-10-17 23:30:30.866707,2024-10-17 23:30:41.903558,0 days 00:00:11.036851,4.213693642651841e-06,0.005916057301684159,0.7702741725386734,1.1868261094224259e-06,0.025374266307634362,0.015804565968574793,9,30,6.89321583479212,0.7588864383084394,863,128,0.259211273149345,0.12672211777315,0.7864868362322057,1,COMPLETE,0.4
6,0.0048595165418471396,2024-10-17 23:30:41.903900,2024-10-17 23:30:49.503432,0 days 00:00:07.599532,0.0004749316194061467,0.054496447237418956,0.8009453923110662,6.062685312426852e-06,0.05452788732376493,0.011276968309155293,6,53,4.70899152689267,0.5423012700858713,897,119,0.2722435627272727,0.27169236076907866,0.8957589859498871,6,COMPLETE,0.4
7,0.004746579531917495,2024-10-17 23:30:49.503722,2024-10-17 23:30:54.165935,0 days 00:00:04.662213,1.0180638529947718e-05,0.0009459437763755198,0.9483539296310788,5.3066909011846204e-06,0.00027300309139271687,0.015225843079603943,8,95,9.178479738133278,0.6128757037267398,550,166,0.06099621333195082,0.8043115769451128,0.5101549811600796,2,COMPLETE,0.4
8,0.004269204601872614,2024-10-17 23:30:54.166227,2024-10-17 23:31:06.548358,0 days 00:00:12.382131,2.126632017680663e-05,0.0008965612306807308,0.7483000722835009,0.0001459874963791455,9.908747155512898e-05,0.020724759368128575,15,22,8.827084262107862,0.3669787679451004,684,78,0.8092561727648524,0.5507393997961332,0.9213480633233269,2,COMPLETE,0.4
9,0.0038765302291673257,2024-10-17 23:31:06.548659,2024-10-17 23:31:23.173560,0 days 00:00:16.624901,1.0362249992699535e-05,3.752934656223628e-06,0.7415734334160342,4.054806059520146e-06,0.009712483901544352,0.08726928616499696,15,85,6.590354147239173,0.20035834255766838,920,281,0.07373211917900835,0.518806463977018,0.5813931964304055,8,COMPLETE,0.4
