number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
0,0.002002362058919228,2024-10-26 15:50:42.575983,2024-10-26 15:50:46.014199,0 days 00:00:03.438216,0.9952491359087894,0.08432315983158654,6,663,5.545255827773227,0.7501423942884912,0.4019142162479281,COMPLETE,0.1
1,0.001936122208301902,2024-10-26 15:50:46.014407,2024-10-26 15:50:46.888718,0 days 00:00:00.874311,0.9475114530557585,0.018219169092854495,5,161,0.709769489006472,5.822514734969242,0.5760908385359567,COMPLETE,0.1
2,0.001587829527920153,2024-10-26 15:50:46.888909,2024-10-26 15:50:53.674832,0 days 00:00:06.785923,0.8950968879182457,0.06253250813182454,9,814,0.6647632003628682,7.694332269053757,0.6260553662139411,COMPLETE,0.1
3,0.001931711693180824,2024-10-26 15:50:53.675089,2024-10-26 15:50:58.273985,0 days 00:00:04.598896,0.9925456295759503,0.08580417909247469,6,792,1.8908347003206503,2.6704745360707736,0.5317140428855356,COMPLETE,0.1
4,0.001773404403587713,2024-10-26 15:50:58.274169,2024-10-26 15:51:04.265983,0 days 00:00:05.991814,0.6625823849335342,0.0705927373237824,6,896,4.316190190266506,5.246534979187471,0.9211478970347781,COMPLETE,0.1
5,0.001713074057727143,2024-10-26 15:51:04.266195,2024-10-26 15:51:09.620773,0 days 00:00:05.354578,0.531894364536794,0.07583525696670197,9,738,5.1816529377614655,1.8802266645648715,0.5836318627665286,COMPLETE,0.1
6,0.0018510290327267305,2024-10-26 15:51:09.620967,2024-10-26 15:51:14.178669,0 days 00:00:04.557702,0.8609019263553911,0.0594856713905506,6,731,6.757138186871397,3.278068534517034,0.6028424899672303,COMPLETE,0.1
7,0.0019970412292659345,2024-10-26 15:51:14.178881,2024-10-26 15:51:15.437182,0 days 00:00:01.258301,0.49072854556545575,0.09878018132156427,7,148,7.974507587570657,9.849433041794084,0.9758756049929233,PRUNED,0.1
8,0.0016309048478170545,2024-10-26 15:51:15.437413,2024-10-26 15:51:24.849777,0 days 00:00:09.412364,0.6857856280293917,0.05502300712927576,9,923,1.623616107246683,6.414735641176206,0.888992931085994,COMPLETE,0.1
9,0.0020983135157208524,2024-10-26 15:51:24.850199,2024-10-26 15:51:28.910143,0 days 00:00:04.059944,0.8782098497156884,0.06534885110490128,6,648,9.578551026932614,4.511705193794081,0.5690206731303205,PRUNED,0.1
10,0.0021495708704677525,2024-10-26 15:51:28.910264,2024-10-26 15:51:30.634546,0 days 00:00:01.724282,0.21105573873049183,0.03354378692546669,3,417,3.174224171419214,8.600391618333752,0.20592629015155783,PRUNED,0.1
11,0.0015122231306441472,2024-10-26 15:51:30.634766,2024-10-26 15:51:40.496443,0 days 00:00:09.861677,0.7110506485828706,0.04261026520382876,9,985,0.14973697877617909,7.320907001082727,0.7991183451689389,COMPLETE,0.1
12,0.0016136709168922297,2024-10-26 15:51:40.496618,2024-10-26 15:51:49.465905,0 days 00:00:08.969287,0.7514230342503561,0.03577636713253154,8,980,0.14153269982761696,7.2947493666828365,0.7666755081806836,COMPLETE,0.1
13,0.0018165634307823815,2024-10-26 15:51:49.466091,2024-10-26 15:51:53.511939,0 days 00:00:04.045848,0.7847981602713566,0.040168645060184624,8,480,2.896527856266102,7.838240314285068,0.760489287495913,PRUNED,0.1
