timestamp_utc,settlement_date,settlement_period,price
2020-09-19T22:00:00Z,2020-09-19,47,34.62
2020-09-19T22:30:00Z,2020-09-19,48,34.62
2020-09-19T23:00:00Z,2020-09-20,1,33.08
2020-09-19T23:30:00Z,2020-09-20,2,33.08
2020-09-20T00:00:00Z,2020-09-20,3,32.17
2020-09-20T00:30:00Z,2020-09-20,4,32.17
2020-09-20T01:00:00Z,2020-09-20,5,32.0
2020-09-20T01:30:00Z,2020-09-20,6,32.0
2020-09-20T02:00:00Z,2020-09-20,7,31.99
2020-09-20T02:30:00Z,2020-09-20,8,31.99
2020-09-20T03:00:00Z,2020-09-20,9,32.54
2020-09-20T03:30:00Z,2020-09-20,10,32.54
2020-09-20T04:00:00Z,2020-09-20,11,32.28
2020-09-20T04:30:00Z,2020-09-20,12,32.28
2020-09-20T05:00:00Z,2020-09-20,13,32.79
2020-09-20T05:30:00Z,2020-09-20,14,32.79
2020-09-20T06:00:00Z,2020-09-20,15,36.0
2020-09-20T06:30:00Z,2020-09-20,16,36.0
2020-09-20T07:00:00Z,2020-09-20,17,45.0
2020-09-20T07:30:00Z,2020-09-20,18,45.0
2020-09-20T08:00:00Z,2020-09-20,19,43.6
2020-09-20T08:30:00Z,2020-09-20,20,43.6
2020-09-20T09:00:00Z,2020-09-20,21,48.17
2020-09-20T09:30:00Z,2020-09-20,22,48.17
2020-09-20T10:00:00Z,2020-09-20,23,50.0
2020-09-20T10:30:00Z,2020-09-20,24,50.0
2020-09-20T11:00:00Z,2020-09-20,25,47.0
2020-09-20T11:30:00Z,2020-09-20,26,47.0
2020-09-20T12:00:00Z,2020-09-20,27,42.0
2020-09-20T12:30:00Z,2020-09-20,28,42.0
2020-09-20T13:00:00Z,2020-09-20,29,37.67
2020-09-20T13:30:00Z,2020-09-20,30,37.67
2020-09-20T14:00:00Z,2020-09-20,31,45.0
2020-09-20T14:30:00Z,2020-09-20,32,45.0
2020-09-20T15:00:00Z,2020-09-20,33,49.4
2020-09-20T15:30:00Z,2020-09-20,34,49.4
2020-09-20T16:00:00Z,2020-09-20,35,55.9
2020-09-20T16:30:00Z,2020-09-20,36,55.9
2020-09-20T17:00:00Z,2020-09-20,37,59.3
2020-09-20T17:30:00Z,2020-09-20,38,59.3
2020-09-20T18:00:00Z,2020-09-20,39,51.48
2020-09-20T18:30:00Z,2020-09-20,40,51.48
2020-09-20T19:00:00Z,2020-09-20,41,43.12
2020-09-20T19:30:00Z,2020-09-20,42,43.12
2020-09-20T20:00:00Z,2020-09-20,43,37.41
2020-09-20T20:30:00Z,2020-09-20,44,37.41
2020-09-20T21:00:00Z,2020-09-20,45,34.93
2020-09-20T21:30:00Z,2020-09-20,46,34.93
2020-09-20T22:00:00Z,2020-09-20,47,33.27
2020-09-20T22:30:00Z,2020-09-20,48,33.27
2020-09-20T23:00:00Z,2020-09-21,1,33.3
2020-09-20T23:30:00Z,2020-09-21,2,33.3
2020-09-21T00:00:00Z,2020-09-21,3,31.02
2020-09-21T00:30:00Z,2020-09-21,4,31.02
2020-09-21T01:00:00Z,2020-09-21,5,30.03
2020-09-21T01:30:00Z,2020-09-21,6,30.03
2020-09-21T02:00:00Z,2020-09-21,7,36.95
2020-09-21T02:30:00Z,2020-09-21,8,36.95
2020-09-21T03:00:00Z,2020-09-21,9,45.76
2020-09-21T03:30:00Z,2020-09-21,10,45.76
2020-09-21T04:00:00Z,2020-09-21,11,52.1
2020-09-21T04:30:00Z,2020-09-21,12,52.1
2020-09-21T05:00:00Z,2020-09-21,13,75.86
2020-09-21T05:30:00Z,2020-09-21,14,75.86
2020-09-21T06:00:00Z,2020-09-21,15,67.43
2020-09-21T06:30:00Z,2020-09-21,16,67.43
2020-09-21T07:00:00Z,2020-09-21,17,61.06
2020-09-21T07:30:00Z,2020-09-21,18,61.06
2020-09-21T08:00:00Z,2020-09-21,19,62.37
2020-09-21T08:30:00Z,2020-09-21,20,62.37
2020-09-21T09:00:00Z,2020-09-21,21,58.85
2020-09-21T09:30:00Z,2020-09-21,22,58.85
2020-09-21T10:00:00Z,2020-09-21,23,51.96
2020-09-21T10:30:00Z,2020-09-21,24,51.96
2020-09-21T11:00:00Z,2020-09-21,25,49.09
2020-09-21T11:30:00Z,2020-09-21,26,49.09
2020-09-21T12:00:00Z,2020-09-21,27,46.81
2020-09-21T12:30:00Z,2020-09-21,28,46.81
2020-09-21T13:00:00Z,2020-09-21,29,49.98
2020-09-21T13:30:00Z,2020-09-21,30,49.98
2020-09-21T14:00:00Z,2020-09-21,31,60.79
2020-09-21T14:30:00Z,2020-09-21,32,60.79
2020-09-21T15:00:00Z,2020-09-21,33,84.93
2020-09-21T15:30:00Z,2020-09-21,34,84.93
2020-09-21T16:00:00Z,2020-09-21,35,187.1
2020-09-21T16:30:00Z,2020-09-21,36,187.1
2020-09-21T17:00:00Z,2020-09-21,37,124.0
2020-09-21T17:30:00Z,2020-09-21,38,124.0
2020-09-21T18:00:00Z,2020-09-21,39,66.0
2020-09-21T18:30:00Z,2020-09-21,40,66.0
2020-09-21T19:00:00Z,2020-09-21,41,53.17
2020-09-21T19:30:00Z,2020-09-21,42,53.17
2020-09-21T20:00:00Z,2020-09-21,43,46.76
2020-09-21T20:30:00Z,2020-09-21,44,46.76
2020-09-21T21:00:00Z,2020-09-21,45,42.33
2020-09-21T21:30:00Z,2020-09-21,46,42.33
2020-09-21T22:00:00Z,2020-09-21,47,38.05
2020-09-21T22:30:00Z,2020-09-21,48,38.05
2020-09-21T23:00:00Z,2020-09-22,1,37.1
2020-09-21T23:30:00Z,2020-09-22,2,37.1
2020-09-22T00:00:00Z,2020-09-22,3,35.9
2020-09-22T00:30:00Z,2020-09-22,4,35.9
2020-09-22T01:00:00Z,2020-09-22,5,35.9
2020-09-22T01:30:00Z,2020-09-22,6,35.9
2020-09-22T02:00:00Z,2020-09-22,7,37.06
2020-09-22T02:30:00Z,2020-09-22,8,37.06
2020-09-22T03:00:00Z,2020-09-22,9,38.03
2020-09-22T03:30:00Z,2020-09-22,10,38.03
2020-09-22T04:00:00Z,2020-09-22,11,48.02
2020-09-22T04:30:00Z,2020-09-22,12,48.02
2020-09-22T05:00:00Z,2020-09-22,13,65.6
2020-09-22T05:30:00Z,2020-09-22,14,65.6
2020-09-22T06:00:00Z,2020-09-22,15,57.0
2020-09-22T06:30:00Z,2020-09-22,16,57.0
2020-09-22T07:00:00Z,2020-09-22,17,52.85
2020-09-22T07:30:00Z,2020-09-22,18,52.85
2020-09-22T08:00:00Z,2020-09-22,19,42.0
2020-09-22T08:30:00Z,2020-09-22,20,42.0
2020-09-22T09:00:00Z,2020-09-22,21,37.51
2020-09-22T09:30:00Z,2020-09-22,22,37.51
2020-09-22T10:00:00Z,2020-09-22,23,33.97
2020-09-22T10:30:00Z,2020-09-22,24,33.97
2020-09-22T11:00:00Z,2020-09-22,25,32.9
2020-09-22T11:30:00Z,2020-09-22,26,32.9
2020-09-22T12:00:00Z,2020-09-22,27,31.95
2020-09-22T12:30:00Z,2020-09-22,28,31.95
2020-09-22T13:00:00Z,2020-09-22,29,32.0
2020-09-22T13:30:00Z,2020-09-22,30,32.0
2020-09-22T14:00:00Z,2020-09-22,31,37.59
2020-09-22T14:30:00Z,2020-09-22,32,37.59
2020-09-22T15:00:00Z,2020-09-22,33,54.77
2020-09-22T15:30:00Z,2020-09-22,34,54.77
2020-09-22T16:00:00Z,2020-09-22,35,60.0
2020-09-22T16:30:00Z,2020-09-22,36,60.0
2020-09-22T17:00:00Z,2020-09-22,37,62.0
2020-09-22T17:30:00Z,2020-09-22,38,62.0
2020-09-22T18:00:00Z,2020-09-22,39,49.79
2020-09-22T18:30:00Z,2020-09-22,40,49.79
2020-09-22T19:00:00Z,2020-09-22,41,41.57
2020-09-22T19:30:00Z,2020-09-22,42,41.57
2020-09-22T20:00:00Z,2020-09-22,43,37.54
