timestamp_utc,settlement_date,settlement_period,imbalance_price
2021-02-19T23:00:00Z,2021-02-19,47,32.75
2021-02-19T23:30:00Z,2021-02-19,48,62.5
2021-02-20T00:00:00Z,2021-02-20,1,32.27
2021-02-20T00:30:00Z,2021-02-20,2,68.9
2021-02-20T01:00:00Z,2021-02-20,3,70.5
2021-02-20T01:30:00Z,2021-02-20,4,70.5
2021-02-20T02:00:00Z,2021-02-20,5,70.5
2021-02-20T02:30:00Z,2021-02-20,6,80.0
2021-02-20T03:00:00Z,2021-02-20,7,82.0
2021-02-20T03:30:00Z,2021-02-20,8,80.0
2021-02-20T04:00:00Z,2021-02-20,9,80.0
2021-02-20T04:30:00Z,2021-02-20,10,70.9
2021-02-20T05:00:00Z,2021-02-20,11,70.9
2021-02-20T05:30:00Z,2021-02-20,12,47.37
2021-02-20T06:00:00Z,2021-02-20,13,70.9
2021-02-20T06:30:00Z,2021-02-20,14,70.9
2021-02-20T07:00:00Z,2021-02-20,15,73.37
2021-02-20T07:30:00Z,2021-02-20,16,74.0
2021-02-20T08:00:00Z,2021-02-20,17,73.37
2021-02-20T08:30:00Z,2021-02-20,18,74.0
2021-02-20T09:00:00Z,2021-02-20,19,74.0
2021-02-20T09:30:00Z,2021-02-20,20,74.0
2021-02-20T10:00:00Z,2021-02-20,21,74.0
2021-02-20T10:30:00Z,2021-02-20,22,74.0
2021-02-20T11:00:00Z,2021-02-20,23,73.37
2021-02-20T11:30:00Z,2021-02-20,24,22.12
2021-02-20T12:00:00Z,2021-02-20,25,70.0
2021-02-20T12:30:00Z,2021-02-20,26,70.0
2021-02-20T13:00:00Z,2021-02-20,27,70.0
2021-02-20T13:30:00Z,2021-02-20,28,13.2
2021-02-20T14:00:00Z,2021-02-20,29,0.0
2021-02-20T14:30:00Z,2021-02-20,30,0.0
2021-02-20T15:00:00Z,2021-02-20,31,0.0
2021-02-20T15:30:00Z,2021-02-20,32,0.0
2021-02-20T16:00:00Z,2021-02-20,33,0.0
2021-02-20T16:30:00Z,2021-02-20,34,24.31022
2021-02-20T17:00:00Z,2021-02-20,35,70.0
2021-02-20T17:30:00Z,2021-02-20,36,73.45
2021-02-20T18:00:00Z,2021-02-20,37,73.45
2021-02-20T18:30:00Z,2021-02-20,38,73.45
2021-02-20T19:00:00Z,2021-02-20,39,70.0
2021-02-20T19:30:00Z,2021-02-20,40,35.0
2021-02-20T20:00:00Z,2021-02-20,41,7.05
2021-02-20T20:30:00Z,2021-02-20,42,7.05
2021-02-20T21:00:00Z,2021-02-20,43,23.71
2021-02-20T21:30:00Z,2021-02-20,44,17.69
2021-02-20T22:00:00Z,2021-02-20,45,23.79
2021-02-20T22:30:00Z,2021-02-20,46,16.84
2021-02-20T23:00:00Z,2021-02-20,47,13.12
