timestamp_utc,settlement_date,settlement_period,data_provider,price,volume
2020-09-19T22:00:00Z,2020-09-19,47,APXMIDP,35.51,574.5
2020-09-19T22:30:00Z,2020-09-19,48,APXMIDP,33.97,589.0
2020-09-19T23:00:00Z,2020-09-20,1,APXMIDP,24.05,352.55
2020-09-19T23:30:00Z,2020-09-20,2,APXMIDP,13.44,364.15
2020-09-20T00:00:00Z,2020-09-20,3,APXMIDP,20.06,271.6
2020-09-20T00:30:00Z,2020-09-20,4,APXMIDP,19.77,336.7
2020-09-20T01:00:00Z,2020-09-20,5,APXMIDP,28.68,584.85
2020-09-20T01:30:00Z,2020-09-20,6,APXMIDP,28.97,734.3
2020-09-20T02:00:00Z,2020-09-20,7,APXMIDP,28.19,477.15
2020-09-20T02:30:00Z,2020-09-20,8,APXMIDP,28.24,528.65
2020-09-20T03:00:00Z,2020-09-20,9,APXMIDP,28.5,493.45
2020-09-20T03:30:00Z,2020-09-20,10,APXMIDP,29.18,710.65
2020-09-20T04:00:00Z,2020-09-20,11,APXMIDP,24.0,491.55
2020-09-20T04:30:00Z,2020-09-20,12,APXMIDP,33.68,678.3
2020-09-20T05:00:00Z,2020-09-20,13,APXMIDP,35.89,485.55
2020-09-20T05:30:00Z,2020-09-20,14,APXMIDP,32.88,595.7
2020-09-20T06:00:00Z,2020-09-20,15,APXMIDP,31.61,612.8
2020-09-20T06:30:00Z,2020-09-20,16,APXMIDP,34.91,788.4
2020-09-20T07:00:00Z,2020-09-20,17,APXMIDP,30.59,854.35
2020-09-20T07:30:00Z,2020-09-20,18,APXMIDP,34.65,771.7
2020-09-20T08:00:00Z,2020-09-20,19,APXMIDP,41.77,752.0
2020-09-20T08:30:00Z,2020-09-20,20,APXMIDP,41.89,1040.8
2020-09-20T09:00:00Z,2020-09-20,21,APXMIDP,39.98,994.25
2020-09-20T09:30:00Z,2020-09-20,22,APXMIDP,39.89,1038.85
2020-09-20T10:00:00Z,2020-09-20,23,APXMIDP,43.26,1110.5
2020-09-20T10:30:00Z,2020-09-20,24,APXMIDP,43.97,1179.25
2020-09-20T11:00:00Z,2020-09-20,25,APXMIDP,44.7,965.2
2020-09-20T11:30:00Z,2020-09-20,26,APXMIDP,44.68,1091.6
2020-09-20T12:00:00Z,2020-09-20,27,APXMIDP,40.71,968.05
2020-09-20T12:30:00Z,2020-09-20,28,APXMIDP,36.87,805.85
2020-09-20T13:00:00Z,2020-09-20,29,APXMIDP,35.31,687.5
2020-09-20T13:30:00Z,2020-09-20,30,APXMIDP,32.17,822.15
2020-09-20T14:00:00Z,2020-09-20,31,APXMIDP,26.83,815.35
2020-09-20T14:30:00Z,2020-09-20,32,APXMIDP,29.11,701.05
2020-09-20T15:00:00Z,2020-09-20,33,APXMIDP,28.88,1023.4
2020-09-20T15:30:00Z,2020-09-20,34,APXMIDP,36.22,914.15
2020-09-20T16:00:00Z,2020-09-20,35,APXMIDP,46.13,795.35
2020-09-20T16:30:00Z,2020-09-20,36,APXMIDP,51.35,637.15
2020-09-20T17:00:00Z,2020-09-20,37,APXMIDP,54.13,815.15
2020-09-20T17:30:00Z,2020-09-20,38,APXMIDP,55.3,984.6
2020-09-20T18:00:00Z,2020-09-20,39,APXMIDP,53.56,1150.3
2020-09-20T18:30:00Z,2020-09-20,40,APXMIDP,55.14,986.05
2020-09-20T19:00:00Z,2020-09-20,41,APXMIDP,54.49,940.15
2020-09-20T19:30:00Z,2020-09-20,42,APXMIDP,51.48,1208.85
2020-09-20T20:00:00Z,2020-09-20,43,APXMIDP,42.84,922.8
2020-09-20T20:30:00Z,2020-09-20,44,APXMIDP,39.42,933.6
2020-09-20T21:00:00Z,2020-09-20,45,APXMIDP,42.87,1033.0
2020-09-20T21:30:00Z,2020-09-20,46,APXMIDP,36.1,1168.7
2020-09-20T22:00:00Z,2020-09-20,47,APXMIDP,24.56,387.65
2020-09-20T22:30:00Z,2020-09-20,48,APXMIDP,22.37,351.75
2020-09-20T23:00:00Z,2020-09-21,1,APXMIDP,26.76,282.4
2020-09-20T23:30:00Z,2020-09-21,2,APXMIDP,24.87,421.55
2020-09-21T00:00:00Z,2020-09-21,3,APXMIDP,26.2,291.7
2020-09-21T00:30:00Z,2020-09-21,4,APXMIDP,29.27,354.55
2020-09-21T01:00:00Z,2020-09-21,5,APXMIDP,29.66,290.9
2020-09-21T01:30:00Z,2020-09-21,6,APXMIDP,28.52,390.7
2020-09-21T02:00:00Z,2020-09-21,7,APXMIDP,30.86,458.15
2020-09-21T02:30:00Z,2020-09-21,8,APXMIDP,28.85,507.5
2020-09-21T03:00:00Z,2020-09-21,9,APXMIDP,32.73,388.4
2020-09-21T03:30:00Z,2020-09-21,10,APXMIDP,31.37,502.1
2020-09-21T04:00:00Z,2020-09-21,11,APXMIDP,40.52,372.35
2020-09-21T04:30:00Z,2020-09-21,12,APXMIDP,33.91,485.9
2020-09-21T05:00:00Z,2020-09-21,13,APXMIDP,29.19,314.25
2020-09-21T05:30:00Z,2020-09-21,14,APXMIDP,33.21,900.2
2020-09-21T06:00:00Z,2020-09-21,15,APXMIDP,35.76,1061.95
2020-09-21T06:30:00Z,2020-09-21,16,APXMIDP,42.68,1228.8
2020-09-21T07:00:00Z,2020-09-21,17,APXMIDP,39.7,1004.4
2020-09-21T07:30:00Z,2020-09-21,18,APXMIDP,45.54,890.2
2020-09-21T08:00:00Z,2020-09-21,19,APXMIDP,41.65,1019.7
2020-09-21T08:30:00Z,2020-09-21,20,APXMIDP,35.7,1103.7
2020-09-21T09:00:00Z,2020-09-21,21,APXMIDP,38.36,1175.4
2020-09-21T09:30:00Z,2020-09-21,22,APXMIDP,35.05,1195.4
2020-09-21T10:00:00Z,2020-09-21,23,APXMIDP,35.6,1230.2
2020-09-21T10:30:00Z,2020-09-21,24,APXMIDP,34.93,1657.25
2020-09-21T11:00:00Z,2020-09-21,25,APXMIDP,31.87,1310.55
2020-09-21T11:30:00Z,2020-09-21,26,APXMIDP,32.44,1310.85
2020-09-21T12:00:00Z,2020-09-21,27,APXMIDP,36.04,1746.0
2020-09-21T12:30:00Z,2020-09-21,28,APXMIDP,35.13,1784.6
2020-09-21T13:00:00Z,2020-09-21,29,APXMIDP,34.68,1805.3
2020-09-21T13:30:00Z,2020-09-21,30,APXMIDP,33.98,1719.55
2020-09-21T14:00:00Z,2020-09-21,31,APXMIDP,30.58,1692.2
2020-09-21T14:30:00Z,2020-09-21,32,APXMIDP,39.96,1847.6
2020-09-21T15:00:00Z,2020-09-21,33,APXMIDP,38.87,2267.95
2020-09-21T15:30:00Z,2020-09-21,34,APXMIDP,44.98,1933.6
2020-09-21T16:00:00Z,2020-09-21,35,APXMIDP,46.58,2275.6
2020-09-21T16:30:00Z,2020-09-21,36,APXMIDP,47.81,2367.15
2020-09-21T17:00:00Z,2020-09-21,37,APXMIDP,51.37,2126.95
2020-09-21T17:30:00Z,2020-09-21,38,APXMIDP,53.9,2293.35
2020-09-21T18:00:00Z,2020-09-21,39,APXMIDP,49.02,1919.4
2020-09-21T18:30:00Z,2020-09-21,40,APXMIDP,51.13,1712.8
2020-09-21T19:00:00Z,2020-09-21,41,APXMIDP,51.6,1707.75
2020-09-21T19:30:00Z,2020-09-21,42,APXMIDP,45.69,1612.85
2020-09-21T20:00:00Z,2020-09-21,43,APXMIDP,40.23,1367.05
2020-09-21T20:30:00Z,2020-09-21,44,APXMIDP,37.99,1289.75
2020-09-21T21:00:00Z,2020-09-21,45,APXMIDP,43.51,1076.45
2020-09-21T21:30:00Z,2020-09-21,46,APXMIDP,38.79,1317.55
2020-09-21T22:00:00Z,2020-09-21,47,APXMIDP,37.43,733.6
