timestamp_utc,settlement_date,settlement_period,price
2024-04-30T22:00:00Z,2024-04-30,47,54.23
2024-04-30T22:30:00Z,2024-04-30,48,54.23
2024-04-30T23:00:00Z,2024-05-01,1,55.74
2024-04-30T23:30:00Z,2024-05-01,2,55.74
2024-05-01T00:00:00Z,2024-05-01,3,54.18
2024-05-01T00:30:00Z,2024-05-01,4,54.18
2024-05-01T01:00:00Z,2024-05-01,5,55.61
2024-05-01T01:30:00Z,2024-05-01,6,55.61
2024-05-01T02:00:00Z,2024-05-01,7,55.53
2024-05-01T02:30:00Z,2024-05-01,8,55.53
2024-05-01T03:00:00Z,2024-05-01,9,61.28
2024-05-01T03:30:00Z,2024-05-01,10,61.28
2024-05-01T04:00:00Z,2024-05-01,11,75.01
2024-05-01T04:30:00Z,2024-05-01,12,75.01
2024-05-01T05:00:00Z,2024-05-01,13,80.44
2024-05-01T05:30:00Z,2024-05-01,14,80.44
2024-05-01T06:00:00Z,2024-05-01,15,89.61
2024-05-01T06:30:00Z,2024-05-01,16,89.61
2024-05-01T07:00:00Z,2024-05-01,17,83.93
2024-05-01T07:30:00Z,2024-05-01,18,83.93
2024-05-01T08:00:00Z,2024-05-01,19,80.56
2024-05-01T08:30:00Z,2024-05-01,20,80.56
2024-05-01T09:00:00Z,2024-05-01,21,77.5
2024-05-01T09:30:00Z,2024-05-01,22,77.5
2024-05-01T10:00:00Z,2024-05-01,23,72.46
2024-05-01T10:30:00Z,2024-05-01,24,72.46
2024-05-01T11:00:00Z,2024-05-01,25,67.09
2024-05-01T11:30:00Z,2024-05-01,26,67.09
2024-05-01T12:00:00Z,2024-05-01,27,63.23
2024-05-01T12:30:00Z,2024-05-01,28,63.23
2024-05-01T13:00:00Z,2024-05-01,29,61.46
2024-05-01T13:30:00Z,2024-05-01,30,61.46
2024-05-01T14:00:00Z,2024-05-01,31,71.85
2024-05-01T14:30:00Z,2024-05-01,32,71.85
2024-05-01T15:00:00Z,2024-05-01,33,79.48
2024-05-01T15:30:00Z,2024-05-01,34,79.48
2024-05-01T16:00:00Z,2024-05-01,35,80.17
2024-05-01T16:30:00Z,2024-05-01,36,80.17
2024-05-01T17:00:00Z,2024-05-01,37,80.62
2024-05-01T17:30:00Z,2024-05-01,38,80.62
2024-05-01T18:00:00Z,2024-05-01,39,75.53
2024-05-01T18:30:00Z,2024-05-01,40,75.53
2024-05-01T19:00:00Z,2024-05-01,41,66.78
2024-05-01T19:30:00Z,2024-05-01,42,66.78
2024-05-01T20:00:00Z,2024-05-01,43,56.69
2024-05-01T20:30:00Z,2024-05-01,44,56.69
2024-05-01T21:00:00Z,2024-05-01,45,64.69
2024-05-01T21:30:00Z,2024-05-01,46,64.69
2024-05-01T22:00:00Z,2024-05-01,47,56.47
2024-05-01T22:30:00Z,2024-05-01,48,56.47
2024-05-01T23:00:00Z,2024-05-02,1,54.98
2024-05-01T23:30:00Z,2024-05-02,2,54.98
2024-05-02T00:00:00Z,2024-05-02,3,46.87
2024-05-02T00:30:00Z,2024-05-02,4,46.87
2024-05-02T01:00:00Z,2024-05-02,5,43.42
2024-05-02T01:30:00Z,2024-05-02,6,43.42
2024-05-02T02:00:00Z,2024-05-02,7,45.78
2024-05-02T02:30:00Z,2024-05-02,8,45.78
2024-05-02T03:00:00Z,2024-05-02,9,55.45
2024-05-02T03:30:00Z,2024-05-02,10,55.45
2024-05-02T04:00:00Z,2024-05-02,11,69.46
2024-05-02T04:30:00Z,2024-05-02,12,69.46
2024-05-02T05:00:00Z,2024-05-02,13,83.72
2024-05-02T05:30:00Z,2024-05-02,14,83.72
2024-05-02T06:00:00Z,2024-05-02,15,82.59
2024-05-02T06:30:00Z,2024-05-02,16,82.59
2024-05-02T07:00:00Z,2024-05-02,17,79.4
2024-05-02T07:30:00Z,2024-05-02,18,79.4
2024-05-02T08:00:00Z,2024-05-02,19,67.53
2024-05-02T08:30:00Z,2024-05-02,20,67.53
2024-05-02T09:00:00Z,2024-05-02,21,65.64
2024-05-02T09:30:00Z,2024-05-02,22,65.64
2024-05-02T10:00:00Z,2024-05-02,23,59.21
2024-05-02T10:30:00Z,2024-05-02,24,59.21
2024-05-02T11:00:00Z,2024-05-02,25,53.47
2024-05-02T11:30:00Z,2024-05-02,26,53.47
2024-05-02T12:00:00Z,2024-05-02,27,40.11
2024-05-02T12:30:00Z,2024-05-02,28,40.11
2024-05-02T13:00:00Z,2024-05-02,29,37.5
2024-05-02T13:30:00Z,2024-05-02,30,37.5
2024-05-02T14:00:00Z,2024-05-02,31,57.79
2024-05-02T14:30:00Z,2024-05-02,32,57.79
2024-05-02T15:00:00Z,2024-05-02,33,70.7
2024-05-02T15:30:00Z,2024-05-02,34,70.7
2024-05-02T16:00:00Z,2024-05-02,35,78.18
2024-05-02T16:30:00Z,2024-05-02,36,78.18
2024-05-02T17:00:00Z,2024-05-02,37,79.98
2024-05-02T17:30:00Z,2024-05-02,38,79.98
2024-05-02T18:00:00Z,2024-05-02,39,80.07
2024-05-02T18:30:00Z,2024-05-02,40,80.07
2024-05-02T19:00:00Z,2024-05-02,41,71.8
2024-05-02T19:30:00Z,2024-05-02,42,71.8
2024-05-02T20:00:00Z,2024-05-02,43,66.54
2024-05-02T20:30:00Z,2024-05-02,44,66.54
2024-05-02T21:00:00Z,2024-05-02,45,70.77
2024-05-02T21:30:00Z,2024-05-02,46,70.77
2024-05-02T22:00:00Z,2024-05-02,47,62.01
2024-05-02T22:30:00Z,2024-05-02,48,62.01
2024-05-02T23:00:00Z,2024-05-03,1,60.41
2024-05-02T23:30:00Z,2024-05-03,2,60.41
2024-05-03T00:00:00Z,2024-05-03,3,60.17
2024-05-03T00:30:00Z,2024-05-03,4,60.17
2024-05-03T01:00:00Z,2024-05-03,5,59.09
2024-05-03T01:30:00Z,2024-05-03,6,59.09
2024-05-03T02:00:00Z,2024-05-03,7,60.14
2024-05-03T02:30:00Z,2024-05-03,8,60.14
2024-05-03T03:00:00Z,2024-05-03,9,62.19
2024-05-03T03:30:00Z,2024-05-03,10,62.19
2024-05-03T04:00:00Z,2024-05-03,11,70.22
2024-05-03T04:30:00Z,2024-05-03,12,70.22
2024-05-03T05:00:00Z,2024-05-03,13,76.98
2024-05-03T05:30:00Z,2024-05-03,14,76.98
2024-05-03T06:00:00Z,2024-05-03,15,80.07
2024-05-03T06:30:00Z,2024-05-03,16,80.07
2024-05-03T07:00:00Z,2024-05-03,17,81.95
2024-05-03T07:30:00Z,2024-05-03,18,81.95
2024-05-03T08:00:00Z,2024-05-03,19,78.37
2024-05-03T08:30:00Z,2024-05-03,20,78.37
2024-05-03T09:00:00Z,2024-05-03,21,73.89
2024-05-03T09:30:00Z,2024-05-03,22,73.89
2024-05-03T10:00:00Z,2024-05-03,23,73.77
2024-05-03T10:30:00Z,2024-05-03,24,73.77
2024-05-03T11:00:00Z,2024-05-03,25,66.0
