timestamp_utc,settlement_date,settlement_period,imbalance_price
2024-04-30T22:00:00Z,2024-04-30,47,86.0
2024-04-30T22:30:00Z,2024-04-30,48,86.0
2024-04-30T23:00:00Z,2024-05-01,1,90.0
2024-04-30T23:30:00Z,2024-05-01,2,90.0
2024-05-01T00:00:00Z,2024-05-01,3,87.47
2024-05-01T00:30:00Z,2024-05-01,4,83.0
2024-05-01T01:00:00Z,2024-05-01,5,63.8
2024-05-01T01:30:00Z,2024-05-01,6,45.94
2024-05-01T02:00:00Z,2024-05-01,7,63.8
2024-05-01T02:30:00Z,2024-05-01,8,80.0
2024-05-01T03:00:00Z,2024-05-01,9,92.0
2024-05-01T03:30:00Z,2024-05-01,10,80.0
2024-05-01T04:00:00Z,2024-05-01,11,87.3899
2024-05-01T04:30:00Z,2024-05-01,12,25.0
2024-05-01T05:00:00Z,2024-05-01,13,33.1
2024-05-01T05:30:00Z,2024-05-01,14,41.0
2024-05-01T06:00:00Z,2024-05-01,15,89.5
2024-05-01T06:30:00Z,2024-05-01,16,104.13864
2024-05-01T07:00:00Z,2024-05-01,17,112.0
2024-05-01T07:30:00Z,2024-05-01,18,99.5
2024-05-01T08:00:00Z,2024-05-01,19,111.5
2024-05-01T08:30:00Z,2024-05-01,20,97.0
2024-05-01T09:00:00Z,2024-05-01,21,51.78905
2024-05-01T09:30:00Z,2024-05-01,22,51.0
2024-05-01T10:00:00Z,2024-05-01,23,51.0
2024-05-01T10:30:00Z,2024-05-01,24,51.01
2024-05-01T11:00:00Z,2024-05-01,25,51.1
2024-05-01T11:30:00Z,2024-05-01,26,52.0
2024-05-01T12:00:00Z,2024-05-01,27,51.16
2024-05-01T12:30:00Z,2024-05-01,28,52.0
2024-05-01T13:00:00Z,2024-05-01,29,52.1
2024-05-01T13:30:00Z,2024-05-01,30,89.0
2024-05-01T14:00:00Z,2024-05-01,31,89.0
2024-05-01T14:30:00Z,2024-05-01,32,90.0
2024-05-01T15:00:00Z,2024-05-01,33,99.9
2024-05-01T15:30:00Z,2024-05-01,34,99.9
2024-05-01T16:00:00Z,2024-05-01,35,105.0
2024-05-01T16:30:00Z,2024-05-01,36,125.0
2024-05-01T17:00:00Z,2024-05-01,37,150.0
2024-05-01T17:30:00Z,2024-05-01,38,110.0
2024-05-01T18:00:00Z,2024-05-01,39,58.2
2024-05-01T18:30:00Z,2024-05-01,40,109.0
2024-05-01T19:00:00Z,2024-05-01,41,53.5
2024-05-01T19:30:00Z,2024-05-01,42,52.7
2024-05-01T20:00:00Z,2024-05-01,43,52.66
2024-05-01T20:30:00Z,2024-05-01,44,52.6
2024-05-01T21:00:00Z,2024-05-01,45,52.6
2024-05-01T21:30:00Z,2024-05-01,46,52.6
2024-05-01T22:00:00Z,2024-05-01,47,81.0
2024-05-01T22:30:00Z,2024-05-01,48,51.12
2024-05-01T23:00:00Z,2024-05-02,1,29.05
2024-05-01T23:30:00Z,2024-05-02,2,29.21
2024-05-02T00:00:00Z,2024-05-02,3,20.7502
2024-05-02T00:30:00Z,2024-05-02,4,20.04
2024-05-02T01:00:00Z,2024-05-02,5,20.54
2024-05-02T01:30:00Z,2024-05-02,6,19.8901
2024-05-02T02:00:00Z,2024-05-02,7,22.5502
2024-05-02T02:30:00Z,2024-05-02,8,24.36
2024-05-02T03:00:00Z,2024-05-02,9,25.79008
2024-05-02T03:30:00Z,2024-05-02,10,27.43013
2024-05-02T04:00:00Z,2024-05-02,11,81.0
2024-05-02T04:30:00Z,2024-05-02,12,51.12
2024-05-02T05:00:00Z,2024-05-02,13,20.0
2024-05-02T05:30:00Z,2024-05-02,14,52.6
2024-05-02T06:00:00Z,2024-05-02,15,52.65
2024-05-02T06:30:00Z,2024-05-02,16,91.0
2024-05-02T07:00:00Z,2024-05-02,17,102.0
2024-05-02T07:30:00Z,2024-05-02,18,102.5
2024-05-02T08:00:00Z,2024-05-02,19,107.4
2024-05-02T08:30:00Z,2024-05-02,20,107.4
