timestamp_utc,settlement_date,settlement_period,data_provider,price,volume
2024-04-30T22:00:00Z,2024-04-30,47,APXMIDP,67.13,1241.55
2024-04-30T22:30:00Z,2024-04-30,48,APXMIDP,67.31,1149.25
2024-04-30T23:00:00Z,2024-05-01,1,APXMIDP,61.97,1262.45
2024-04-30T23:30:00Z,2024-05-01,2,APXMIDP,68.36,1445.75
2024-05-01T00:00:00Z,2024-05-01,3,APXMIDP,69.85,1286.1
2024-05-01T00:30:00Z,2024-05-01,4,APXMIDP,72.2,1452.8
2024-05-01T01:00:00Z,2024-05-01,5,APXMIDP,67.83,1531.6
2024-05-01T01:30:00Z,2024-05-01,6,APXMIDP,61.01,1636.45
2024-05-01T02:00:00Z,2024-05-01,7,APXMIDP,59.25,1772.9
2024-05-01T02:30:00Z,2024-05-01,8,APXMIDP,57.71,1706.7
2024-05-01T03:00:00Z,2024-05-01,9,APXMIDP,58.41,1668.6
2024-05-01T03:30:00Z,2024-05-01,10,APXMIDP,64.07,2059.55
2024-05-01T04:00:00Z,2024-05-01,11,APXMIDP,60.99,1642.6
2024-05-01T04:30:00Z,2024-05-01,12,APXMIDP,60.94,1722.6
2024-05-01T05:00:00Z,2024-05-01,13,APXMIDP,67.96,2162.25
2024-05-01T05:30:00Z,2024-05-01,14,APXMIDP,68.49,2057.9
2024-05-01T06:00:00Z,2024-05-01,15,APXMIDP,73.81,2385.3
2024-05-01T06:30:00Z,2024-05-01,16,APXMIDP,82.96,2473.55
2024-05-01T07:00:00Z,2024-05-01,17,APXMIDP,89.62,2309.15
2024-05-01T07:30:00Z,2024-05-01,18,APXMIDP,89.76,2162.85
2024-05-01T08:00:00Z,2024-05-01,19,APXMIDP,89.97,2895.5
2024-05-01T08:30:00Z,2024-05-01,20,APXMIDP,84.91,2996.0
2024-05-01T09:00:00Z,2024-05-01,21,APXMIDP,83.94,3079.55
2024-05-01T09:30:00Z,2024-05-01,22,APXMIDP,81.57,3184.4
2024-05-01T10:00:00Z,2024-05-01,23,APXMIDP,75.72,2205.75
2024-05-01T10:30:00Z,2024-05-01,24,APXMIDP,68.74,2432.75
2024-05-01T11:00:00Z,2024-05-01,25,APXMIDP,66.81,1950.65
2024-05-01T11:30:00Z,2024-05-01,26,APXMIDP,69.31,2410.25
2024-05-01T12:00:00Z,2024-05-01,27,APXMIDP,67.08,1989.5
2024-05-01T12:30:00Z,2024-05-01,28,APXMIDP,63.96,1810.75
2024-05-01T13:00:00Z,2024-05-01,29,APXMIDP,63.26,1984.25
2024-05-01T13:30:00Z,2024-05-01,30,APXMIDP,64.56,2060.5
2024-05-01T14:00:00Z,2024-05-01,31,APXMIDP,73.33,1655.95
2024-05-01T14:30:00Z,2024-05-01,32,APXMIDP,80.02,2019.05
2024-05-01T15:00:00Z,2024-05-01,33,APXMIDP,80.28,2020.45
2024-05-01T15:30:00Z,2024-05-01,34,APXMIDP,85.62,1945.6
2024-05-01T16:00:00Z,2024-05-01,35,APXMIDP,91.2,2229.2
2024-05-01T16:30:00Z,2024-05-01,36,APXMIDP,97.07,2266.5
2024-05-01T17:00:00Z,2024-05-01,37,APXMIDP,104.29,2641.25
2024-05-01T17:30:00Z,2024-05-01,38,APXMIDP,101.55,2612.5
2024-05-01T18:00:00Z,2024-05-01,39,APXMIDP,106.56,2867.6
2024-05-01T18:30:00Z,2024-05-01,40,APXMIDP,98.25,3119.8
2024-05-01T19:00:00Z,2024-05-01,41,APXMIDP,93.64,2765.5
2024-05-01T19:30:00Z,2024-05-01,42,APXMIDP,90.98,2808.85
2024-05-01T20:00:00Z,2024-05-01,43,APXMIDP,76.84,1582.0
2024-05-01T20:30:00Z,2024-05-01,44,APXMIDP,65.29,1825.55
2024-05-01T21:00:00Z,2024-05-01,45,APXMIDP,64.52,1592.45
2024-05-01T21:30:00Z,2024-05-01,46,APXMIDP,61.28,2167.25
2024-05-01T22:00:00Z,2024-05-01,47,APXMIDP,81.03,1675.9
2024-05-01T22:30:00Z,2024-05-01,48,APXMIDP,70.25,1565.35
2024-05-01T23:00:00Z,2024-05-02,1,APXMIDP,50.29,1052.65
2024-05-01T23:30:00Z,2024-05-02,2,APXMIDP,46.79,1192.1
2024-05-02T00:00:00Z,2024-05-02,3,APXMIDP,37.33,1308.55
