timestamp_utc,settlement_date,settlement_period,solar_mw,wind_offshore_mw,wind_onshore_mw
2024-04-30T22:00:00Z,2024-04-30,47,0.0,4379.151666666667,3469.144
2024-04-30T22:30:00Z,2024-04-30,48,0.0,4379.151666666667,3469.144
2024-04-30T23:00:00Z,2024-05-01,1,0.0,3909.131666666666,3096.8033333333333
2024-04-30T23:30:00Z,2024-05-01,2,0.0,3909.131666666666,3096.8033333333333
2024-05-01T00:00:00Z,2024-05-01,3,0.0,4502.065,2870.32
2024-05-01T00:30:00Z,2024-05-01,4,0.0,4502.065,2870.32
2024-05-01T01:00:00Z,2024-05-01,5,0.0,4193.634,2629.369
2024-05-01T01:30:00Z,2024-05-01,6,0.0,4193.634,2629.369
2024-05-01T02:00:00Z,2024-05-01,7,0.0,3703.483,2384.466
2024-05-01T02:30:00Z,2024-05-01,8,0.0,3703.483,2384.466
2024-05-01T03:00:00Z,2024-05-01,9,0.0,3132.848,2209.894
2024-05-01T03:30:00Z,2024-05-01,10,0.0,3132.848,2209.894
2024-05-01T04:00:00Z,2024-05-01,11,0.0,2673.118,2070.748
2024-05-01T04:30:00Z,2024-05-01,12,104.0,2673.118,2070.748
2024-05-01T05:00:00Z,2024-05-01,13,330.0,2273.456,1999.898
2024-05-01T05:30:00Z,2024-05-01,14,665.0,2273.456,1999.898
2024-05-01T06:00:00Z,2024-05-01,15,1082.0,1889.682,1899.952
2024-05-01T06:30:00Z,2024-05-01,16,1623.0,1889.682,1899.952
2024-05-01T07:00:00Z,2024-05-01,17,2188.5,1382.437,1655.253
2024-05-01T07:30:00Z,2024-05-01,18,2906.5,1382.437,1655.253
2024-05-01T08:00:00Z,2024-05-01,19,3569.5,1156.3015,1565.613
2024-05-01T08:30:00Z,2024-05-01,20,4172.0,1156.3015,1565.613
2024-05-01T09:00:00Z,2024-05-01,21,4717.5,1099.8455,1660.942
2024-05-01T09:30:00Z,2024-05-01,22,5130.5,1099.8455,1660.942
2024-05-01T10:00:00Z,2024-05-01,23,5344.5,1214.944,1746.2735
2024-05-01T10:30:00Z,2024-05-01,24,5401.0,1214.944,1746.2735
2024-05-01T11:00:00Z,2024-05-01,25,5317.666666666667,1330.555,1719.7883333333332
2024-05-01T11:30:00Z,2024-05-01,26,5202.333333333333,1330.555,1719.7883333333332
2024-05-01T12:00:00Z,2024-05-01,27,4993.666666666667,1689.469,1629.429
2024-05-01T12:30:00Z,2024-05-01,28,4727.333333333333,1689.469,1629.429
2024-05-01T13:00:00Z,2024-05-01,29,4439.333333333333,2016.58,1597.5836666666669
2024-05-01T13:30:00Z,2024-05-01,30,4127.0,2016.58,1597.5836666666669
2024-05-01T14:00:00Z,2024-05-01,31,3773.6666666666665,2458.788,1615.05
2024-05-01T14:30:00Z,2024-05-01,32,3341.6666666666665,2458.788,1615.05
2024-05-01T15:00:00Z,2024-05-01,33,2814.333333333333,2951.525333333333,1657.2856666666669
2024-05-01T15:30:00Z,2024-05-01,34,2287.333333333333,2951.525333333333,1657.2856666666669
2024-05-01T16:00:00Z,2024-05-01,35,1851.0,3509.7406666666666,1723.044
2024-05-01T16:30:00Z,2024-05-01,36,1454.0,3509.7406666666666,1723.044
2024-05-01T17:00:00Z,2024-05-01,37,1037.3333333333333,4125.3606666666665,1808.459
2024-05-01T17:30:00Z,2024-05-01,38,648.3333333333334,4125.3606666666665,1808.459
2024-05-01T18:00:00Z,2024-05-01,39,346.0,4609.101333333333,1819.802
2024-05-01T18:30:00Z,2024-05-01,40,144.33333333333334,4609.101333333333,1819.802
2024-05-01T19:00:00Z,2024-05-01,41,40.333333333333336,5032.274,1920.1453333333327
2024-05-01T19:30:00Z,2024-05-01,42,0.0,5032.274,1920.1453333333327
2024-05-01T20:00:00Z,2024-05-01,43,0.0,5533.501666666667,2143.7056666666667
2024-05-01T20:30:00Z,2024-05-01,44,0.0,5533.501666666667,2143.7056666666667
2024-05-01T21:00:00Z,2024-05-01,45,0.0,6084.555666666667,2364.3160000000003
2024-05-01T21:30:00Z,2024-05-01,46,0.0,6084.555666666667,2364.3160000000003
2024-05-01T22:00:00Z,2024-05-01,47,0.0,6446.986,2565.851333333333
2024-05-01T22:30:00Z,2024-05-01,48,0.0,6446.986,2565.851333333333
2024-05-01T23:00:00Z,2024-05-02,1,0.0,6671.229333333334,2817.868
2024-05-01T23:30:00Z,2024-05-02,2,0.0,6671.229333333334,2817.868
2024-05-02T00:00:00Z,2024-05-02,3,0.0,6279.759,2511.829
2024-05-02T00:30:00Z,2024-05-02,4,0.0,6279.759,2511.829
2024-05-02T01:00:00Z,2024-05-02,5,0.0,6404.412,2742.275
2024-05-02T01:30:00Z,2024-05-02,6,0.0,6404.412,2742.275
2024-05-02T02:00:00Z,2024-05-02,7,0.0,6499.647,2895.146
2024-05-02T02:30:00Z,2024-05-02,8,0.0,6499.647,2895.146
2024-05-02T03:00:00Z,2024-05-02,9,0.0,6475.786,3046.42
2024-05-02T03:30:00Z,2024-05-02,10,0.0,6475.786,3046.42
2024-05-02T04:00:00Z,2024-05-02,11,0.0,6180.347,3240.784
2024-05-02T04:30:00Z,2024-05-02,12,31.0,6180.347,3240.784
2024-05-02T05:00:00Z,2024-05-02,13,153.0,6024.831,3453.914
2024-05-02T05:30:00Z,2024-05-02,14,368.0,6024.831,3453.914
2024-05-02T06:00:00Z,2024-05-02,15,682.0,6083.492,3591.41
2024-05-02T06:30:00Z,2024-05-02,16,1081.0,6083.492,3591.41
2024-05-02T07:00:00Z,2024-05-02,17,1743.5,6036.1155,3926.7695
2024-05-02T07:30:00Z,2024-05-02,18,2336.0,6036.1155,3926.7695
2024-05-02T08:00:00Z,2024-05-02,19,2952.5,6115.8725,4264.2235
2024-05-02T08:30:00Z,2024-05-02,20,3562.5,6115.8725,4264.2235
2024-05-02T09:00:00Z,2024-05-02,21,4144.0,6305.4825,4877.255
2024-05-02T09:30:00Z,2024-05-02,22,4673.5,6305.4825,4877.255
2024-05-02T10:00:00Z,2024-05-02,23,5127.5,6391.735500000001,5529.387000000001
2024-05-02T10:30:00Z,2024-05-02,24,5487.0,6391.735500000001,5529.387000000001
2024-05-02T11:00:00Z,2024-05-02,25,5714.0,6541.896333333333,6294.719
2024-05-02T11:30:00Z,2024-05-02,26,5863.333333333333,6541.896333333333,6294.719
2024-05-02T12:00:00Z,2024-05-02,27,5856.666666666667,6658.158333333333,6637.087333333333
2024-05-02T12:30:00Z,2024-05-02,28,5720.0,6658.158333333333,6637.087333333333
2024-05-02T13:00:00Z,2024-05-02,29,5485.666666666667,6814.211333333334,6852.4890000000005
2024-05-02T13:30:00Z,2024-05-02,30,5152.666666666667,6814.211333333334,6852.4890000000005
2024-05-02T14:00:00Z,2024-05-02,31,4716.666666666667,6828.195333333333,6943.390666666666
2024-05-02T14:30:00Z,2024-05-02,32,4192.333333333333,6828.195333333333,6943.390666666666
2024-05-02T15:00:00Z,2024-05-02,33,3603.0,6604.347000000001,6952.625
2024-05-02T15:30:00Z,2024-05-02,34,2979.0,6604.347000000001,6952.625
2024-05-02T16:00:00Z,2024-05-02,35,2354.0,6298.456333333333,6769.736666666667
2024-05-02T16:30:00Z,2024-05-02,36,1773.6666666666667,6298.456333333333,6769.736666666667
2024-05-02T17:00:00Z,2024-05-02,37,1275.3333333333333,6127.511,6410.693333333334
2024-05-02T17:30:00Z,2024-05-02,38,848.0,6127.511,6410.693333333334
2024-05-02T18:00:00Z,2024-05-02,39,481.6666666666667,5990.4783333333335,5828.099333333333
2024-05-02T18:30:00Z,2024-05-02,40,210.0,5990.4783333333335,5828.099333333333
2024-05-02T19:00:00Z,2024-05-02,41,60.66666666666666,5858.362666666667,5267.232333333333
2024-05-02T19:30:00Z,2024-05-02,42,0.0,5858.362666666667,5267.232333333333
2024-05-02T20:00:00Z,2024-05-02,43,0.0,5727.409333333333,4915.256666666667
2024-05-02T20:30:00Z,2024-05-02,44,0.0,5727.409333333333,4915.256666666667
2024-05-02T21:00:00Z,2024-05-02,45,0.0,5369.069333333334,4617.549
2024-05-02T21:30:00Z,2024-05-02,46,0.0,5369.069333333334,4617.549
2024-05-02T22:00:00Z,2024-05-02,47,0.0,4847.7413333333325,4421.764666666667
2024-05-02T22:30:00Z,2024-05-02,48,0.0,4847.7413333333325,4421.764666666667
2024-05-02T23:00:00Z,2024-05-03,1,0.0,4533.910333333333,4269.676666666666
2024-05-02T23:30:00Z,2024-05-03,2,0.0,4533.910333333333,4269.676666666666
2024-05-03T00:00:00Z,2024-05-03,3,0.0,4415.711,4110.315
2024-05-03T00:30:00Z,2024-05-03,4,0.0,4415.711,4110.315
2024-05-03T01:00:00Z,2024-05-03,5,0.0,4244.541,3937.37
2024-05-03T01:30:00Z,2024-05-03,6,0.0,4244.541,3937.37
2024-05-03T02:00:00Z,2024-05-03,7,0.0,4317.789,3732.014
2024-05-03T02:30:00Z,2024-05-03,8,0.0,4317.789,3732.014
2024-05-03T03:00:00Z,2024-05-03,9,0.0,4566.681,3544.123
2024-05-03T03:30:00Z,2024-05-03,10,0.0,4566.681,3544.123
2024-05-03T04:00:00Z,2024-05-03,11,0.0,4641.214,3434.8
2024-05-03T04:30:00Z,2024-05-03,12,0.0,4641.214,3434.8
2024-05-03T05:00:00Z,2024-05-03,13,121.0,4727.517,3322.908
2024-05-03T05:30:00Z,2024-05-03,14,274.0,4727.517,3322.908
2024-05-03T06:00:00Z,2024-05-03,15,436.0,4680.181,3233.42
2024-05-03T06:30:00Z,2024-05-03,16,629.0,4680.181,3233.42
2024-05-03T07:00:00Z,2024-05-03,17,950.5,4544.6555,3325.436
2024-05-03T07:30:00Z,2024-05-03,18,1273.5,4544.6555,3325.436
2024-05-03T08:00:00Z,2024-05-03,19,1646.5,4629.965,3428.705
2024-05-03T08:30:00Z,2024-05-03,20,1989.0,4629.965,3428.705
2024-05-03T09:00:00Z,2024-05-03,21,2237.0,4516.419,3633.009
2024-05-03T09:30:00Z,2024-05-03,22,2462.0,4516.419,3633.009
2024-05-03T10:00:00Z,2024-05-03,23,2736.5,4368.7655,3824.078
