timestamp_utc,settlement_date,settlement_period,boa,generation_mw
2024-04-30T22:00:00Z,2024-04-30,47,0.0,381.464
2024-04-30T22:30:00Z,2024-04-30,48,0.0,405.084
2024-04-30T23:00:00Z,2024-05-01,1,0.0,408.464
2024-04-30T23:30:00Z,2024-05-01,2,0.0,440.464
2024-05-01T00:00:00Z,2024-05-01,3,0.0,514.844
2024-05-01T00:30:00Z,2024-05-01,4,0.0,551.9839999999999
2024-05-01T01:00:00Z,2024-05-01,5,0.0,566.344
2024-05-01T01:30:00Z,2024-05-01,6,0.0,382.524
2024-05-01T02:00:00Z,2024-05-01,7,0.0,295.98400000000004
2024-05-01T02:30:00Z,2024-05-01,8,0.0,216.044
2024-05-01T03:00:00Z,2024-05-01,9,0.0,138.444
2024-05-01T03:30:00Z,2024-05-01,10,0.0,245.964
2024-05-01T04:00:00Z,2024-05-01,11,0.0,406.604
2024-05-01T04:30:00Z,2024-05-01,12,0.0,464.422
2024-05-01T05:00:00Z,2024-05-01,13,0.0,324.162
2024-05-01T05:30:00Z,2024-05-01,14,0.0,371.484
2024-05-01T06:00:00Z,2024-05-01,15,0.0,280.884
2024-05-01T06:30:00Z,2024-05-01,16,0.0,113.684
2024-05-01T07:00:00Z,2024-05-01,17,0.0,36.582
2024-05-01T07:30:00Z,2024-05-01,18,0.0,15.968
2024-05-01T08:00:00Z,2024-05-01,19,0.0,15.63
2024-05-01T08:30:00Z,2024-05-01,20,0.0,18.828
2024-05-01T09:00:00Z,2024-05-01,21,0.0,60.016000000000005
2024-05-01T09:30:00Z,2024-05-01,22,0.0,183.142
2024-05-01T10:00:00Z,2024-05-01,23,0.0,283.022
2024-05-01T10:30:00Z,2024-05-01,24,0.0,224.822
2024-05-01T11:00:00Z,2024-05-01,25,0.0,223.322
2024-05-01T11:30:00Z,2024-05-01,26,0.0,234.442
2024-05-01T12:00:00Z,2024-05-01,27,0.0,241.262
2024-05-01T12:30:00Z,2024-05-01,28,0.0,262.582
2024-05-01T13:00:00Z,2024-05-01,29,0.0,224.602
2024-05-01T13:30:00Z,2024-05-01,30,0.0,207.844
2024-05-01T14:00:00Z,2024-05-01,31,0.0,295.104
2024-05-01T14:30:00Z,2024-05-01,32,0.0,253.644
2024-05-01T15:00:00Z,2024-05-01,33,0.0,211.904
2024-05-01T15:30:00Z,2024-05-01,34,0.0,220.062
2024-05-01T16:00:00Z,2024-05-01,35,0.0,254.48
2024-05-01T16:30:00Z,2024-05-01,36,0.0,269.04200000000003
2024-05-01T17:00:00Z,2024-05-01,37,0.0,323.122
2024-05-01T17:30:00Z,2024-05-01,38,0.0,356.982
2024-05-01T18:00:00Z,2024-05-01,39,0.0,397.502
2024-05-01T18:30:00Z,2024-05-01,40,0.0,380.402
2024-05-01T19:00:00Z,2024-05-01,41,0.0,321.562
2024-05-01T19:30:00Z,2024-05-01,42,0.0,357.222
2024-05-01T20:00:00Z,2024-05-01,43,0.0,369.262
2024-05-01T20:30:00Z,2024-05-01,44,0.0,325.422
2024-05-01T21:00:00Z,2024-05-01,45,0.0,346.642
2024-05-01T21:30:00Z,2024-05-01,46,0.0,404.962
2024-05-01T22:00:00Z,2024-05-01,47,0.0,492.962
2024-05-01T22:30:00Z,2024-05-01,48,0.0,587.162
2024-05-01T23:00:00Z,2024-05-02,1,0.0,639.462
2024-05-01T23:30:00Z,2024-05-02,2,0.0,656.202
2024-05-02T00:00:00Z,2024-05-02,3,0.0,679.602
2024-05-02T00:30:00Z,2024-05-02,4,0.0,685.602
2024-05-02T01:00:00Z,2024-05-02,5,0.0,685.902
2024-05-02T01:30:00Z,2024-05-02,6,0.0,685.982
2024-05-02T02:00:00Z,2024-05-02,7,0.0,685.982
2024-05-02T02:30:00Z,2024-05-02,8,0.0,685.882
2024-05-02T03:00:00Z,2024-05-02,9,0.0,685.942
2024-05-02T03:30:00Z,2024-05-02,10,0.0,685.862
2024-05-02T04:00:00Z,2024-05-02,11,0.0,685.942
2024-05-02T04:30:00Z,2024-05-02,12,0.0,685.8820000000001
2024-05-02T05:00:00Z,2024-05-02,13,0.0,685.862
2024-05-02T05:30:00Z,2024-05-02,14,0.0,685.9019999999999
2024-05-02T06:00:00Z,2024-05-02,15,0.0,685.902
2024-05-02T06:30:00Z,2024-05-02,16,0.0,685.862
2024-05-02T07:00:00Z,2024-05-02,17,0.0,685.8439999999999
2024-05-02T07:30:00Z,2024-05-02,18,0.0,685.984
2024-05-02T08:00:00Z,2024-05-02,19,0.0,685.802
2024-05-02T08:30:00Z,2024-05-02,20,0.0,685.662
2024-05-02T09:00:00Z,2024-05-02,21,0.0,684.684
2024-05-02T09:30:00Z,2024-05-02,22,0.0,672.9639999999999
2024-05-02T10:00:00Z,2024-05-02,23,0.0,666.004
2024-05-02T10:30:00Z,2024-05-02,24,0.0,665.104
2024-05-02T11:00:00Z,2024-05-02,25,0.0,652.864
2024-05-02T11:30:00Z,2024-05-02,26,0.0,616.804
2024-05-02T12:00:00Z,2024-05-02,27,0.0,641.384
2024-05-02T12:30:00Z,2024-05-02,28,0.0,672.124
2024-05-02T13:00:00Z,2024-05-02,29,0.0,672.582
2024-05-02T13:30:00Z,2024-05-02,30,0.0,643.624
2024-05-02T14:00:00Z,2024-05-02,31,0.0,623.544
2024-05-02T14:30:00Z,2024-05-02,32,0.0,636.262
2024-05-02T15:00:00Z,2024-05-02,33,0.0,654.642
2024-05-02T15:30:00Z,2024-05-02,34,0.0,663.342
2024-05-02T16:00:00Z,2024-05-02,35,0.0,666.422
2024-05-02T16:30:00Z,2024-05-02,36,0.0,648.462
2024-05-02T17:00:00Z,2024-05-02,37,0.0,644.502
2024-05-02T17:30:00Z,2024-05-02,38,0.0,635.524
2024-05-02T18:00:00Z,2024-05-02,39,0.0,615.124
2024-05-02T18:30:00Z,2024-05-02,40,0.0,550.802
2024-05-02T19:00:00Z,2024-05-02,41,0.0,510.562
2024-05-02T19:30:00Z,2024-05-02,42,0.0,440.942
2024-05-02T20:00:00Z,2024-05-02,43,0.0,398.182
2024-05-02T20:30:00Z,2024-05-02,44,0.0,343.322
2024-05-02T21:00:00Z,2024-05-02,45,0.0,276.442
2024-05-02T21:30:00Z,2024-05-02,46,0.0,237.882
2024-05-02T22:00:00Z,2024-05-02,47,0.0,233.742
2024-05-02T22:30:00Z,2024-05-02,48,0.0,195.842
2024-05-02T23:00:00Z,2024-05-03,1,0.0,142.882
2024-05-02T23:30:00Z,2024-05-03,2,0.0,82.524
2024-05-03T00:00:00Z,2024-05-03,3,0.0,60.564
2024-05-03T00:30:00Z,2024-05-03,4,0.0,34.124
2024-05-03T01:00:00Z,2024-05-03,5,0.0,4.55
2024-05-03T01:30:00Z,2024-05-03,6,0.0,0.0
2024-05-03T02:00:00Z,2024-05-03,7,0.0,0.0
2024-05-03T02:30:00Z,2024-05-03,8,0.0,0.0
2024-05-03T03:00:00Z,2024-05-03,9,0.0,0.0
2024-05-03T03:30:00Z,2024-05-03,10,0.0,0.0
2024-05-03T04:00:00Z,2024-05-03,11,0.0,0.0
2024-05-03T04:30:00Z,2024-05-03,12,0.0,0.0
2024-05-03T05:00:00Z,2024-05-03,13,0.0,0.0
2024-05-03T05:30:00Z,2024-05-03,14,0.0,0.0
2024-05-03T06:00:00Z,2024-05-03,15,0.0,16.796
2024-05-03T06:30:00Z,2024-05-03,16,0.0,28.254
2024-05-03T07:00:00Z,2024-05-03,17,0.0,37.522
2024-05-03T07:30:00Z,2024-05-03,18,0.0,57.292
2024-05-03T08:00:00Z,2024-05-03,19,0.0,34.382
2024-05-03T08:30:00Z,2024-05-03,20,0.0,18.506
2024-05-03T09:00:00Z,2024-05-03,21,0.0,57.986
2024-05-03T09:30:00Z,2024-05-03,22,0.0,60.328
2024-05-03T10:00:00Z,2024-05-03,23,0.0,56.044
2024-05-03T10:30:00Z,2024-05-03,24,0.0,40.122
2024-05-03T11:00:00Z,2024-05-03,25,0.0,48.064
2024-05-03T11:30:00Z,2024-05-03,26,0.0,58.084
2024-05-03T12:00:00Z,2024-05-03,27,0.0,54.354
2024-05-03T12:30:00Z,2024-05-03,28,0.0,16.674
2024-05-03T13:00:00Z,2024-05-03,29,0.0,0.0
2024-05-03T13:30:00Z,2024-05-03,30,0.0,0.892
2024-05-03T14:00:00Z,2024-05-03,31,0.0,46.33
2024-05-03T14:30:00Z,2024-05-03,32,0.0,135.264
2024-05-03T15:00:00Z,2024-05-03,33,0.0,207.484
2024-05-03T15:30:00Z,2024-05-03,34,0.0,224.124
2024-05-03T16:00:00Z,2024-05-03,35,0.0,223.544
2024-05-03T16:30:00Z,2024-05-03,36,0.0,230.624
